ENSECAG00000000001      MTPAP
ENSECAG00000000002	RPE
ENSECAG00000006213	PDK1
ENSECAG00000006214	ENST00000309433
ENSECAG00000006216	KIAA2026
ENSECAG00000006218	C5AR2
ENSECAG00000006219	RAB2B
ENSECAG00000006222	OR6M1
ENSECAG00000006224	MYLK4
ENSECAG00000006225	EDN3
ENSECAG00000006226	OR5AP2
ENSECAG00000006227	OR4N2
ENSECAG00000006228	TRBV9
ENSECAG00000006229	FAM64A
ENSECAG00000006230	ZNF135
ENSECAG00000006233	AAK1
ENSECAG00000006234	ORM2
ENSECAG00000006235	VN1R4
ENSECAG00000006236	OR6M1
ENSECAG00000006237	ZSCAN4
ENSECAG00000006238	OR10A3
ENSECAG00000006239	NUP155
ENSECAG00000006243	RANBP6
ENSECAG00000006244	BAG5
ENSECAG00000006245	DOCK1
ENSECAG00000006247	OR4K1
ENSECAG00000006248	PUSL1
ENSECAG00000006249	AFF3
ENSECAG00000006251	CLEC3B
ENSECAG00000006252	SMIM15
ENSECAG00000006253	ICOS
ENSECAG00000006255	FPR2
ENSECAG00000006256	COPRS
ENSECAG00000006257	SNTG2
ENSECAG00000006260	AP002962.1
ENSECAG00000006265	VN1R4
ENSECAG00000006267	NR1D1
ENSECAG00000006268	CCDC6
ENSECAG00000006269	KIAA1644
ENSECAG00000006272	FAM166A
ENSECAG00000006273	PPIC
ENSECAG00000006277	OR4K5
ENSECAG00000006282	HIST1H3D
ENSECAG00000006283	OR2AP1
ENSECAG00000006286	TPD52L3
ENSECAG00000006287	PARP11
ENSECAG00000006288	SIK1
ENSECAG00000006289	NCOR1
ENSECAG00000006290	TGM2
ENSECAG00000006291	OPHN1
ENSECAG00000006293	KLHDC3
ENSECAG00000006294	AP002962.1
ENSECAG00000006296	CCDC160
ENSECAG00000006300	FUT11
ENSECAG00000006301	METTL4
ENSECAG00000006302	SLC25A29
ENSECAG00000006304	KIF6
ENSECAG00000006305	TTC21A
ENSECAG00000006306	SLC38A5
ENSECAG00000006310	OR2A25
ENSECAG00000006311	AHNAK2
ENSECAG00000006312	LAMTOR4
ENSECAG00000006313	DMBT1
ENSECAG00000006314	SLC10A2
ENSECAG00000006315	XYLT1
ENSECAG00000006316	TIGD1
ENSECAG00000006318	OR4K2
ENSECAG00000006319	TIGD1
ENSECAG00000006320	FAM127A
ENSECAG00000006321	GOLPH3
ENSECAG00000006322	GPR55
ENSECAG00000006323	LEKR1
ENSECAG00000006324	OR10A3
ENSECAG00000006325	OR4K1
ENSECAG00000006328	OR6M1
ENSECAG00000006329	LIPN
ENSECAG00000006330	AK8
ENSECAG00000006331	CLOCK
ENSECAG00000006332	OR6C4
ENSECAG00000006335	IBA57
ENSECAG00000006337	RAB11FIP4
ENSECAG00000006338	ANKH
ENSECAG00000006339	GEMIN4
ENSECAG00000006341	ALKBH6
ENSECAG00000006342	OR4K2
ENSECAG00000006343	L3MBTL3
ENSECAG00000006349	ZNF268
ENSECAG00000006350	GAPT
ENSECAG00000006351	DDX53
ENSECAG00000006354	OR10Q1
ENSECAG00000006356	ZNF292
ENSECAG00000006357	APIP
ENSECAG00000006358	ETAA1
ENSECAG00000006359	PDP2
ENSECAG00000006360	ENST00000361760
ENSECAG00000006361	OR1E1
ENSECAG00000006364	RNF41
ENSECAG00000006366	MAF1
ENSECAG00000006370	HIST2H4B
ENSECAG00000006371	OR2J3
ENSECAG00000006372	RPS25
ENSECAG00000006373	FAM127A
ENSECAG00000006374	OR4K15
ENSECAG00000006376	TPH1
ENSECAG00000006378	DNHD1
ENSECAG00000006379	NIPA2
ENSECAG00000006380	UFSP1
ENSECAG00000006383	WDR38
ENSECAG00000006384	FABP9
ENSECAG00000006385	ZNF229
ENSECAG00000006385	ZNF234
ENSECAG00000006386	FAM57A
ENSECAG00000006387	OR10C1
ENSECAG00000006391	ST14
ENSECAG00000006392	SEC63
ENSECAG00000006393	CALM1
ENSECAG00000006397	OR8D4
ENSECAG00000006398	DNHD1
ENSECAG00000006400	TOX4
ENSECAG00000006401	TIGD1
ENSECAG00000006403	MIEF1
ENSECAG00000006404	SLC17A3
ENSECAG00000006405	PPP2R5D
ENSECAG00000006406	VN1R4
ENSECAG00000006407	CALML5
ENSECAG00000006409	B3GNT9
ENSECAG00000006410	FBXO22
ENSECAG00000006414	CCDC74B
ENSECAG00000006416	EVC
ENSECAG00000006417	RPS12
ENSECAG00000006418	HIST1H3D
ENSECAG00000006419	C2CD2
ENSECAG00000006420	SDR16C5
ENSECAG00000006421	SYNDIG1
ENSECAG00000006422	SNAPC3
ENSECAG00000006424	CNTF
ENSECAG00000006425	ZNF449
ENSECAG00000006427	OR4A15
ENSECAG00000006428	ARMC6
ENSECAG00000006429	ANXA5
ENSECAG00000006430	RPS10
ENSECAG00000006431	THAP11
ENSECAG00000006432	OR2J3
ENSECAG00000006434	AP002962.1
ENSECAG00000006435	AP002962.1
ENSECAG00000006436	COQ10B
ENSECAG00000006439	OR6C4
ENSECAG00000006440	VN1R4
ENSECAG00000006442	ADAM9
ENSECAG00000006443	RAB21
ENSECAG00000006445	CDCA4
ENSECAG00000006447	ZNF449
ENSECAG00000006450	SLC9A9
ENSECAG00000006451	DDX28
ENSECAG00000006452	YWHAG
ENSECAG00000006453	NAB2
ENSECAG00000006454	ZRSR2
ENSECAG00000006455	CYP51A1
ENSECAG00000006456	IL17B
ENSECAG00000006457	DNHD1
ENSECAG00000006458	TAF13
ENSECAG00000006460	OR2J3
ENSECAG00000006462	KDELR2
ENSECAG00000006463	ANKRD39
ENSECAG00000006465	VN1R4
ENSECAG00000006466	CLDN4
ENSECAG00000006467	OR4A47
ENSECAG00000006468	TXNL4A
ENSECAG00000006469	EIF1AX
ENSECAG00000006470	STEAP3
ENSECAG00000006471	RPP14
ENSECAG00000006472	EIF4E
ENSECAG00000006473	OR10P1
ENSECAG00000006474	LGALS3
ENSECAG00000006475	RPL18A
ENSECAG00000006476	LRRC8D
ENSECAG00000006477	HIST1H2AG
ENSECAG00000006481	WWP2
ENSECAG00000006482	CRISP2
ENSECAG00000006483	OR2G3
ENSECAG00000006484	IFNB1
ENSECAG00000006485	MILR1
ENSECAG00000006486	SFMBT1
ENSECAG00000006487	METTL21C
ENSECAG00000006488	ENST00000361760
ENSECAG00000006490	OR4K14
ENSECAG00000006491	SPCS1
ENSECAG00000006492	HLA-DQB1
ENSECAG00000006493	PTMA
ENSECAG00000006494	HRH4
ENSECAG00000006495	ENST00000616091
ENSECAG00000006496	LEKR1
ENSECAG00000006497	SETD9
ENSECAG00000006499	GPR101
ENSECAG00000006500	ADAMTS5
ENSECAG00000006501	FJX1
ENSECAG00000006504	PRG2
ENSECAG00000006505	VPS28
ENSECAG00000006506	PEX5L
ENSECAG00000006509	LY6D
ENSECAG00000006510	PMP2
ENSECAG00000006511	MCHR1
ENSECAG00000006513	GPR132
ENSECAG00000006516	SOX3
ENSECAG00000006518	SLC39A10
ENSECAG00000006519	SMG6
ENSECAG00000006522	HLA-DQA1
ENSECAG00000006524	FANK1
ENSECAG00000006525	BET1L
ENSECAG00000006526	CENPJ
ENSECAG00000006527	LDOC1
ENSECAG00000006530	HELZ
ENSECAG00000006532	VN1R4
ENSECAG00000006534	OR4C46
ENSECAG00000006535	ERBB4
ENSECAG00000006536	TSSK1B
ENSECAG00000006538	OR4K2
ENSECAG00000006539	EXOSC7
ENSECAG00000006540	ELK4
ENSECAG00000006542	ZBED5
ENSECAG00000006544	MGA
ENSECAG00000006545	NSFL1C
ENSECAG00000006546	ZNF521
ENSECAG00000006547	VN1R4
ENSECAG00000006548	SPATA3
ENSECAG00000006549	SETD1B
ENSECAG00000006550	OR10R2
ENSECAG00000006552	ERBB4
ENSECAG00000006553	CHST4
ENSECAG00000006554	PRRG4
ENSECAG00000006556	REV3L
ENSECAG00000006557	OR4C5
ENSECAG00000006558	RIC1
ENSECAG00000006559	OR12D2
ENSECAG00000006561	TRBC1
ENSECAG00000006562	OR4N2
ENSECAG00000006563	SPAG16
ENSECAG00000006567	SLITRK4
ENSECAG00000006568	PPTC7
ENSECAG00000006569	MUC13
ENSECAG00000006571	IFNA14
ENSECAG00000006573	CMTR2
ENSECAG00000006575	WDR3
ENSECAG00000006576	APOBEC2
ENSECAG00000006577	TBCK
ENSECAG00000006579	APOF
ENSECAG00000006581	STPG1
ENSECAG00000006582	HAGHL
ENSECAG00000006583	DGAT2L6
ENSECAG00000006584	OR10C1
ENSECAG00000006585	IFNW1
ENSECAG00000006586	VN1R4
ENSECAG00000006587	RWDD1
ENSECAG00000006588	CHUK
ENSECAG00000006589	ERCC3
ENSECAG00000006590	ENST00000610926
ENSECAG00000006591	ATG9B
ENSECAG00000006594	RPS3
ENSECAG00000006595	CXCR2
ENSECAG00000006599	IFNW1
ENSECAG00000006600	ZSWIM4
ENSECAG00000006601	NEU3
ENSECAG00000006603	HLA-DOA
ENSECAG00000006606	OR10K1
ENSECAG00000006607	KIF11
ENSECAG00000006608	OR4K13
ENSECAG00000006609	JAG2
ENSECAG00000006611	USP8
ENSECAG00000006612	RRP8
ENSECAG00000006613	FBXO45
ENSECAG00000006614	C4orf47
ENSECAG00000006615	MYO16
ENSECAG00000006617	VN1R4
ENSECAG00000006619	ZNF688
ENSECAG00000006620	GABRA1
ENSECAG00000006622	OR10C1
ENSECAG00000006623	MAGEA10
ENSECAG00000006625	ENST00000623829
ENSECAG00000006626	ZDHHC17
ENSECAG00000006630	OR4M1
ENSECAG00000006631	ENST00000369160
ENSECAG00000006632	HAPLN2
ENSECAG00000006633	VWA7
ENSECAG00000006635	OR4N5
ENSECAG00000006636	HENMT1
ENSECAG00000006637	NECTIN3
ENSECAG00000006638	CASP8AP2
ENSECAG00000006640	GFM2
ENSECAG00000006641	RPL34
ENSECAG00000006642	TIGD1
ENSECAG00000006646	MUC1
ENSECAG00000006647	GFI1
ENSECAG00000006648	ZNF180
ENSECAG00000006653	ENST00000623829
ENSECAG00000006654	OR4S2
ENSECAG00000006655	OR10K2
ENSECAG00000006656	TRIP11
ENSECAG00000006657	OR2B2
ENSECAG00000006658	FKBP11
ENSECAG00000006659	ATG4B
ENSECAG00000006660	DNPH1
ENSECAG00000006662	MPO
ENSECAG00000006663	FCGR3A
ENSECAG00000006664	INPP5J
ENSECAG00000006665	GPM6B
ENSECAG00000006666	MURC
ENSECAG00000006668	MZT2A
ENSECAG00000006669	ACSM3
ENSECAG00000006670	RABAC1
ENSECAG00000006671	TMPRSS11F
ENSECAG00000006673	OR2B2
ENSECAG00000006674	RRAD
ENSECAG00000006675	UBR3
ENSECAG00000006678	SLC43A3
ENSECAG00000006680	SAP30L
ENSECAG00000006683	GALNT16
ENSECAG00000006684	ODF3
ENSECAG00000006685	NPFFR2
ENSECAG00000006686	NCAPG2
ENSECAG00000006687	PIN1
ENSECAG00000006688	APEX2
ENSECAG00000006690	IFNA5
ENSECAG00000006691	OR4S2
ENSECAG00000006692	PSMB4
ENSECAG00000006693	OR4L1
ENSECAG00000006694	S100A2
ENSECAG00000006695	ENST00000623976
ENSECAG00000006696	TMTC4
ENSECAG00000006697	APEX1
ENSECAG00000006698	ZNF165
ENSECAG00000006699	HNRNPA1
ENSECAG00000006700	OR4L1
ENSECAG00000006701	TLR5
ENSECAG00000006703	MUC5B
ENSECAG00000006704	FAM98B
ENSECAG00000006705	OR2B2
ENSECAG00000006706	SFTPD
ENSECAG00000006707	INSIG2
ENSECAG00000006708	RPL21
ENSECAG00000006709	OR4K17
ENSECAG00000006710	TBC1D15
ENSECAG00000006711	CXCR1
ENSECAG00000006712	WRAP73
ENSECAG00000006713	TIGD1
ENSECAG00000006714	PARD6A
ENSECAG00000006715	OR4F15
ENSECAG00000006716	OR11G2
ENSECAG00000006717	ASS1
ENSECAG00000006719	CLCN2
ENSECAG00000006720	OR4F15
ENSECAG00000006721	TMBIM4
ENSECAG00000006722	WDR17
ENSECAG00000006723	ZNF366
ENSECAG00000006724	PWWP2A
ENSECAG00000006725	TMCC1
ENSECAG00000006726	GLYAT
ENSECAG00000006727	OR4C3
ENSECAG00000006728	ASB11
ENSECAG00000006729	DTWD2
ENSECAG00000006730	OR11G2
ENSECAG00000006731	ERICH4
ENSECAG00000006732	TMEM132B
ENSECAG00000006735	OR12D3
ENSECAG00000006736	FANCC
ENSECAG00000006737	CD2BP2
ENSECAG00000006739	OR4F6
ENSECAG00000006743	OR11G2
ENSECAG00000006744	TRIM33
ENSECAG00000006745	LGALS1
ENSECAG00000006746	RD3
ENSECAG00000006748	VWA8
ENSECAG00000006750	OR4K2
ENSECAG00000006751	MAGEA11
ENSECAG00000006753	SOWAHC
ENSECAG00000006754	RTP1
ENSECAG00000006755	RAB3IL1
ENSECAG00000006756	MYH14
ENSECAG00000006757	GKN1
ENSECAG00000006759	DLEU7
ENSECAG00000006760	SPATA31D4
ENSECAG00000006763	GPBAR1
ENSECAG00000006764	CCL20
ENSECAG00000006765	CDK14
ENSECAG00000006767	OR4F15
ENSECAG00000006768	IFNW1
ENSECAG00000006769	TTC1
ENSECAG00000006770	GLYAT
ENSECAG00000006771	PRKCA
ENSECAG00000006773	CIR1
ENSECAG00000006774	OR11G2
ENSECAG00000006775	OR4B1
ENSECAG00000006776	IL15RA
ENSECAG00000006777	CFAP46
ENSECAG00000006779	USP12
ENSECAG00000006780	GPR45
ENSECAG00000006781	CDK5R2
ENSECAG00000006782	ZSCAN5B
ENSECAG00000006783	AP002962.1
ENSECAG00000006784	ABCC1
ENSECAG00000006785	HIST1H2BI
ENSECAG00000006787	CTDNEP1
ENSECAG00000006788	PCSK5
ENSECAG00000006791	OR4F21
ENSECAG00000006792	MACROD1
ENSECAG00000006796	ZSCAN26
ENSECAG00000006797	OR8J3
ENSECAG00000006799	APEX1
ENSECAG00000006800	WDR45
ENSECAG00000006801	NMI
ENSECAG00000006803	SYTL2
ENSECAG00000006804	OR1N1
ENSECAG00000006805	IFNA5
ENSECAG00000006806	GREB1
ENSECAG00000006808	VPS11
ENSECAG00000006810	OR4F15
ENSECAG00000006812	NAV1
ENSECAG00000006816	CFH
ENSECAG00000006816	CFHR1
ENSECAG00000006816	CFHR5
ENSECAG00000006816	RP4-608O15.3
ENSECAG00000006819	DNAJC11
ENSECAG00000006820	DYTN
ENSECAG00000006822	KCNE4
ENSECAG00000006823	OR11G2
ENSECAG00000006824	ELMO3
ENSECAG00000006825	FLRT1
ENSECAG00000006826	SLC46A1
ENSECAG00000006827	SEMA6A
ENSECAG00000006828	CYB5A
ENSECAG00000006829	KAZN
ENSECAG00000006830	CRYBB1
ENSECAG00000006832	OR4F16
ENSECAG00000006833	CRADD
ENSECAG00000006835	DERL3
ENSECAG00000006836	PCP2
ENSECAG00000006837	DMRTC1B
ENSECAG00000006838	OR11H7
ENSECAG00000006839	FBXO18
ENSECAG00000006840	B3GNT7
ENSECAG00000006841	OR4F21
ENSECAG00000006842	OR5B3
ENSECAG00000006844	CALD1
ENSECAG00000006846	GFRA1
ENSECAG00000006847	PIK3CD
ENSECAG00000006848	SLC27A6
ENSECAG00000006850	VPS37A
ENSECAG00000006851	SLC8A1
ENSECAG00000006852	ZNF677
ENSECAG00000006853	UBD
ENSECAG00000006854	EID3
ENSECAG00000006855	AKIRIN1
ENSECAG00000006856	SIGLEC14
ENSECAG00000006857	DCAF10
ENSECAG00000006858	GPHA2
ENSECAG00000006859	TAOK3
ENSECAG00000006860	F5
ENSECAG00000006861	R3HCC1L
ENSECAG00000006862	OR8K1
ENSECAG00000006863	OR10AG1
ENSECAG00000006864	OR11H4
ENSECAG00000006865	CHCHD1
ENSECAG00000006866	KIF5A
ENSECAG00000006867	CDC42EP2
ENSECAG00000006868	OR4F16
ENSECAG00000006869	MAP9
ENSECAG00000006870	SPATC1L
ENSECAG00000006871	OR5J2
ENSECAG00000006872	APEX1
ENSECAG00000006873	FOXI1
ENSECAG00000006875	IP6K2
ENSECAG00000006877	CCDC88A
ENSECAG00000006878	CSAD
ENSECAG00000006879	PLA2G5
ENSECAG00000006880	WNT16
ENSECAG00000006881	CKAP4
ENSECAG00000006882	OR4D6
ENSECAG00000006883	ZCCHC7
ENSECAG00000006884	MRPL10
ENSECAG00000006885	IMPDH2
ENSECAG00000006886	RAB31
ENSECAG00000006888	OR11G2
ENSECAG00000006889	OR4F16
ENSECAG00000006890	MAP3K1
ENSECAG00000006891	CUTC
ENSECAG00000006892	SLC37A4
ENSECAG00000006893	ENST00000309433
ENSECAG00000006894	OR2H1
ENSECAG00000006895	SSTR3
ENSECAG00000006896	TIGD3
ENSECAG00000006897	OR1L6
ENSECAG00000006898	ACHE
ENSECAG00000006901	TCEANC2
ENSECAG00000006902	GDF6
ENSECAG00000006903	OR11H6
ENSECAG00000006904	H3F3A
ENSECAG00000006905	PLPPR3
ENSECAG00000006906	SLC25A45
ENSECAG00000006908	CD248
ENSECAG00000006910	ABT1
ENSECAG00000006911	ATRX
ENSECAG00000006912	LRRC29
ENSECAG00000006913	RPS27A
ENSECAG00000006914	ELFN2
ENSECAG00000006915	STK17A
ENSECAG00000006916	MEFV
ENSECAG00000006917	P4HA3
ENSECAG00000006918	CCDC87
ENSECAG00000006920	SRP72
ENSECAG00000006921	HYLS1
ENSECAG00000006923	MAX
ENSECAG00000006925	WDR53
ENSECAG00000006927	OR10W1
ENSECAG00000006928	TIGD1
ENSECAG00000006929	GNAT2
ENSECAG00000006930	RPL7A
ENSECAG00000006931	ATF4
ENSECAG00000006932	MRGPRD
ENSECAG00000006933	IFNA13
ENSECAG00000006934	GDPD3
ENSECAG00000006935	ENST00000370616
ENSECAG00000006936	ITPRIPL1
ENSECAG00000006937	LRRC7
ENSECAG00000006938	LNX1
ENSECAG00000006939	OR10T2
ENSECAG00000006940	OR4F16
ENSECAG00000006942	STIP1
ENSECAG00000006944	GMFB
ENSECAG00000006945	IFITM10
ENSECAG00000006946	OR1L6
ENSECAG00000006948	ADRA2B
ENSECAG00000006949	CTNNB1
ENSECAG00000006950	NBR1
ENSECAG00000006951	TSSC4
ENSECAG00000006953	OR2A14
ENSECAG00000006954	OR5J2
ENSECAG00000006955	SNRNP40
ENSECAG00000006957	BIN1
ENSECAG00000006958	DDX59
ENSECAG00000006959	NAPA
ENSECAG00000006962	PLA2G4D
ENSECAG00000006963	NACC2
ENSECAG00000006964	MPZL1
ENSECAG00000006965	PUS1
ENSECAG00000006966	CD1A
ENSECAG00000006968	OR10Q1
ENSECAG00000006969	OR4F16
ENSECAG00000006970	DSG4
ENSECAG00000006971	SMCO1
ENSECAG00000006972	TDRP
ENSECAG00000006973	PHLDA2
ENSECAG00000006975	SNRK
ENSECAG00000006979	GALNT10
ENSECAG00000006980	FEZ1
ENSECAG00000006982	OR4F16
ENSECAG00000006984	ZCCHC8
ENSECAG00000006985	HIST1H2AC
ENSECAG00000006986	SLC26A5
ENSECAG00000006987	IKZF5
ENSECAG00000006988	CEND1
ENSECAG00000006989	SEPW1
ENSECAG00000006991	PECAM1
ENSECAG00000006992	OR2A14
ENSECAG00000006993	OR11H7
ENSECAG00000006995	TMEM59
ENSECAG00000006996	PRSS50
ENSECAG00000006997	PRPF18
ENSECAG00000006999	PLEKHG4
ENSECAG00000007002	EYS
ENSECAG00000007003	RNF168
ENSECAG00000007007	STT3B
ENSECAG00000007008	CDKL5
ENSECAG00000007009	ITPKC
ENSECAG00000007010	CLU
ENSECAG00000007011	OR4K2
ENSECAG00000007012	ENST00000309433
ENSECAG00000007013	RNASEH2A
ENSECAG00000007016	ENST00000312711
ENSECAG00000007020	C14orf28
ENSECAG00000007021	SH2B3
ENSECAG00000007022	PTCD2
ENSECAG00000007023	ANTXR1
ENSECAG00000007024	ABHD6
ENSECAG00000007025	OR2A2
ENSECAG00000007026	SOX15
ENSECAG00000007027	OR10R2
ENSECAG00000007030	CALCOCO2
ENSECAG00000007031	STPG3
ENSECAG00000007032	KLHL29
ENSECAG00000007033	OR5AS1
ENSECAG00000007034	OR9Q2
ENSECAG00000007035	OR5A1
ENSECAG00000007038	OR4F6
ENSECAG00000007040	FAM101A
ENSECAG00000007041	OR2H1
ENSECAG00000007043	GCHFR
ENSECAG00000007044	FRAS1
ENSECAG00000007047	ASPN
ENSECAG00000007048	SLCO6A1
ENSECAG00000007049	TTN
ENSECAG00000007051	FXR2
ENSECAG00000007054	ZSWIM2
ENSECAG00000007055	OR5AP2
ENSECAG00000007058	MEI4
ENSECAG00000007059	HIST1H2BI
ENSECAG00000007061	LMO2
ENSECAG00000007062	ARSD
ENSECAG00000007063	MTUS1
ENSECAG00000007064	OR4K13
ENSECAG00000007066	RASSF4
ENSECAG00000007068	OR9Q1
ENSECAG00000007069	TUBGCP4
ENSECAG00000007070	TPRKB
ENSECAG00000007071	GTPBP6
ENSECAG00000007072	PRPF4
ENSECAG00000007074	OR11G2
ENSECAG00000007075	OR10D3
ENSECAG00000007077	BEAN1
ENSECAG00000007078	AMN1
ENSECAG00000007080	ALK
ENSECAG00000007083	PCYOX1L
ENSECAG00000007084	RAB11FIP5
ENSECAG00000007086	DPM2
ENSECAG00000007087	FBXL13
ENSECAG00000007088	KBTBD8
ENSECAG00000007089	MALRD1
ENSECAG00000007091	OR8I2
ENSECAG00000007092	OR10AG1
ENSECAG00000007094	C9orf16
ENSECAG00000007097	CRTAC1
ENSECAG00000007103	ASNA1
ENSECAG00000007104	NISCH
ENSECAG00000007105	IDH2
ENSECAG00000007107	CYSLTR1
ENSECAG00000007108	STEAP2
ENSECAG00000007111	OR10D3
ENSECAG00000007112	KLK3
ENSECAG00000007113	ATXN10
ENSECAG00000007118	ELP5
ENSECAG00000007119	AP002962.1
ENSECAG00000007120	NRN1
ENSECAG00000007121	OR4L1
ENSECAG00000007123	CHMP3
ENSECAG00000007124	SHPRH
ENSECAG00000007126	OR10G9
ENSECAG00000007127	HS3ST2
ENSECAG00000007129	LRP6
ENSECAG00000007132	NEURL3
ENSECAG00000007133	TPPP3
ENSECAG00000007135	OR9I1
ENSECAG00000007136	IFNAR2
ENSECAG00000007137	OR5D16
ENSECAG00000007138	BMP5
ENSECAG00000007139	CDC42EP1
ENSECAG00000007140	OR9I1
ENSECAG00000007141	AC011513.3
ENSECAG00000007143	DEFB103B
ENSECAG00000007144	OR10D3
ENSECAG00000007145	FAM20C
ENSECAG00000007146	OR2A2
ENSECAG00000007147	CAPRIN1
ENSECAG00000007149	ADCY7
ENSECAG00000007150	DIDO1
ENSECAG00000007152	TAP2
ENSECAG00000007153	HUNK
ENSECAG00000007154	OR5T1
ENSECAG00000007157	SLC23A3
ENSECAG00000007159	OR10AG1
ENSECAG00000007160	OR4K13
ENSECAG00000007161	CYP2F1
ENSECAG00000007162	OR10D3
ENSECAG00000007163	NR0B2
ENSECAG00000007164	FAM102A
ENSECAG00000007165	TRAF5
ENSECAG00000007166	OR2A2
ENSECAG00000007167	OR10AG1
ENSECAG00000007168	OR4Q2
ENSECAG00000007169	TTC22
ENSECAG00000007170	TK2
ENSECAG00000007171	FGL1
ENSECAG00000007172	PSD
ENSECAG00000007174	OR2H1
ENSECAG00000007175	BORCS7
ENSECAG00000007176	ELOVL7
ENSECAG00000007179	SPCS2
ENSECAG00000007180	OR2A2
ENSECAG00000007182	ORC6
ENSECAG00000007183	SEMA3E
ENSECAG00000007184	PROCA1
ENSECAG00000007185	ENST00000333973
ENSECAG00000007186	OR2A2
ENSECAG00000007187	BRWD3
ENSECAG00000007188	OR10D3
ENSECAG00000007189	ASAP3
ENSECAG00000007190	HNRNPH3
ENSECAG00000007191	GEMIN6
ENSECAG00000007192	PTPRC
ENSECAG00000007193	HIST1H2AE
ENSECAG00000007194	CHRNE
ENSECAG00000007197	HAUS4
ENSECAG00000007198	CD79A
ENSECAG00000007200	EIF2AK1
ENSECAG00000007201	RPL32
ENSECAG00000007202	OR8G5
ENSECAG00000007203	OR5AP2
ENSECAG00000007205	ZBTB33
ENSECAG00000007206	UBE2O
ENSECAG00000007207	SLC35A1
ENSECAG00000007208	OR4N2
ENSECAG00000007210	CTSL
ENSECAG00000007211	KIAA1671
ENSECAG00000007212	RAB34
ENSECAG00000007213	SEC16B
ENSECAG00000007214	CACNG5
ENSECAG00000007215	OR2AT4
ENSECAG00000007216	TMIE
ENSECAG00000007217	OR8J2
ENSECAG00000007219	OR4A47
ENSECAG00000007220	HEYL
ENSECAG00000007221	GORAB
ENSECAG00000007222	RNF130
ENSECAG00000007226	OR4B1
ENSECAG00000007228	ARHGAP31
ENSECAG00000007231	ETNK1
ENSECAG00000007233	UBE2E3
ENSECAG00000007234	SPATA2
ENSECAG00000007235	NEUROG2
ENSECAG00000007236	UCKL1
ENSECAG00000007238	COA6
ENSECAG00000007240	CYLD
ENSECAG00000007241	PDYN
ENSECAG00000007242	DUSP2
ENSECAG00000007243	ZNF25
ENSECAG00000007246	CDH8
ENSECAG00000007248	SMPD4
ENSECAG00000007249	MCOLN3
ENSECAG00000007250	RNF114
ENSECAG00000007251	APEX1
ENSECAG00000007254	IZUMO1R
ENSECAG00000007255	OR2A2
ENSECAG00000007257	CCDC184
ENSECAG00000007258	IGHG1
ENSECAG00000007259	OR8U1
ENSECAG00000007260	TRBV30
ENSECAG00000007262	EEA1
ENSECAG00000007263	OR10AD1
ENSECAG00000007264	IFT43
ENSECAG00000007265	NEBL
ENSECAG00000007267	C2orf49
ENSECAG00000007269	TRIM67
ENSECAG00000007270	IGKV2-30
ENSECAG00000007271	OR2A7
ENSECAG00000007272	NCOR2
ENSECAG00000007273	EEF1A1
ENSECAG00000007274	PLCL1
ENSECAG00000007275	TTL
ENSECAG00000007276	EPHB6
ENSECAG00000007278	OR8G5
ENSECAG00000007279	MEX3A
ENSECAG00000007280	SLC12A5
ENSECAG00000007281	SAMD11
ENSECAG00000007282	TM9SF2
ENSECAG00000007283	METTL24
ENSECAG00000007284	SLC35F3
ENSECAG00000007285	OR2A5
ENSECAG00000007286	OR4N2
ENSECAG00000007287	C19orf68
ENSECAG00000007289	CLDN7
ENSECAG00000007291	FAU
ENSECAG00000007292	RXFP4
ENSECAG00000007294	PIGT
ENSECAG00000007295	ANO7
ENSECAG00000007296	PPP1R3F
ENSECAG00000007297	OR5B12
ENSECAG00000007298	OR8S1
ENSECAG00000007299	STARD9
ENSECAG00000007300	DCLK1
ENSECAG00000007301	ATXN2L
ENSECAG00000007302	DIS3L
ENSECAG00000007303	AGBL1
ENSECAG00000007305	TC2N
ENSECAG00000007306	TRBV6-1
ENSECAG00000007307	OR8K5
ENSECAG00000007310	DFNB59
ENSECAG00000007311	TGFBRAP1
ENSECAG00000007313	DAZAP2
ENSECAG00000007315	ACAP3
ENSECAG00000007316	HIST1H3D
ENSECAG00000007317	NBL1
ENSECAG00000007318	OR2AT4
ENSECAG00000007319	MRPS11
ENSECAG00000007320	C7orf61
ENSECAG00000007321	HIST1H2BD
ENSECAG00000007322	PRPF19
ENSECAG00000007323	MTMR1
ENSECAG00000007324	GBX2
ENSECAG00000007327	KISS1
ENSECAG00000007328	ITPR3
ENSECAG00000007329	IL18R1
ENSECAG00000007330	ALS2CL
ENSECAG00000007331	LRRTM2
ENSECAG00000007333	OR4C5
ENSECAG00000007334	SMG9
ENSECAG00000007335	SLC9C2
ENSECAG00000007336	NMRK1
ENSECAG00000007337	PDE8A
ENSECAG00000007338	SCARF2
ENSECAG00000007339	OR4C11
ENSECAG00000007341	OR5B2
ENSECAG00000007343	DPM3
ENSECAG00000007344	OR8G1
ENSECAG00000007346	FBXO9
ENSECAG00000007347	MFSD8
ENSECAG00000007348	TTC36
ENSECAG00000007349	PTPA
ENSECAG00000007350	SIVA1
ENSECAG00000007351	PLAU
ENSECAG00000007352	ZCCHC4
ENSECAG00000007354	DDO
ENSECAG00000007355	PIK3IP1
ENSECAG00000007356	CERS5
ENSECAG00000007358	RTN4RL2
