ENSECAG00000000002	ENST00000359429
ENSECAG00000006243	ENST00000259569
ENSECAG00000006244	ENST00000299204
ENSECAG00000006245	ENST00000280333
ENSECAG00000006247	ENST00000285600
ENSECAG00000006248	ENST00000379031
ENSECAG00000006249	ENST00000317233
ENSECAG00000006251	ENST00000296130
ENSECAG00000006252	ENST00000507416
ENSECAG00000006253	ENST00000316386
ENSECAG00000006255	ENST00000598776
ENSECAG00000006256	ENST00000302362
ENSECAG00000006257	ENST00000308624
ENSECAG00000006259	ENST00000395526
ENSECAG00000006259	ENST00000395526
ENSECAG00000006260	ENST00000623963
ENSECAG00000006265	ENST00000311170
ENSECAG00000006267	ENST00000246672
ENSECAG00000006268	ENST00000263102
ENSECAG00000006269	ENST00000381176
ENSECAG00000006272	ENST00000344774
ENSECAG00000006273	ENST00000306442
ENSECAG00000006277	ENST00000315915
ENSECAG00000006280	ENST00000261596
ENSECAG00000006280	ENST00000261596
ENSECAG00000006282	ENST00000356476
ENSECAG00000006283	ENST00000321688
ENSECAG00000006286	ENST00000344545
ENSECAG00000006287	ENST00000228820
ENSECAG00000006288	ENST00000270162
ENSECAG00000006289	ENST00000268712
ENSECAG00000006290	ENST00000361475
ENSECAG00000006291	ENST00000355520
ENSECAG00000006293	ENST00000332245
ENSECAG00000006294	ENST00000623963
ENSECAG00000006296	ENST00000370809
ENSECAG00000006300	ENST00000372841
ENSECAG00000006301	ENST00000574538
ENSECAG00000006302	ENST00000359232
ENSECAG00000006304	ENST00000287152
ENSECAG00000006305	ENST00000431162
ENSECAG00000006306	ENST00000620913
ENSECAG00000006310	ENST00000408898
ENSECAG00000006311	ENST00000557457
ENSECAG00000006312	ENST00000460732
ENSECAG00000006313	ENST00000359586
ENSECAG00000006314	ENST00000245312
ENSECAG00000006315	ENST00000261381
ENSECAG00000006316	ENST00000408957
ENSECAG00000006318	ENST00000298642
ENSECAG00000006319	ENST00000408957
ENSECAG00000006320	ENST00000257013
ENSECAG00000006321	ENST00000265070
ENSECAG00000006322	ENST00000392040
ENSECAG00000006323	ENST00000498839
ENSECAG00000006324	ENST00000626843
ENSECAG00000006325	ENST00000285600
ENSECAG00000006328	ENST00000309154
ENSECAG00000006329	ENST00000404459
ENSECAG00000006330	ENST00000298545
ENSECAG00000006331	ENST00000513440
ENSECAG00000006332	ENST00000394256
ENSECAG00000006335	ENST00000366711
ENSECAG00000006337	ENST00000621161
ENSECAG00000006338	ENST00000284268
ENSECAG00000006339	ENST00000319004
ENSECAG00000006341	ENST00000378875
ENSECAG00000006342	ENST00000298642
ENSECAG00000006343	ENST00000361794
ENSECAG00000006349	ENST00000228289
ENSECAG00000006350	ENST00000318469
ENSECAG00000006351	ENST00000327968
ENSECAG00000006354	ENST00000316770
ENSECAG00000006356	ENST00000369577
ENSECAG00000006357	ENST00000395787
ENSECAG00000006358	ENST00000272342
ENSECAG00000006359	ENST00000311765
ENSECAG00000006360	ENST00000361760
ENSECAG00000006361	ENST00000322608
ENSECAG00000006364	ENST00000615206
ENSECAG00000006365	ENST00000276072
ENSECAG00000006365	ENST00000276072
ENSECAG00000006366	ENST00000532522
ENSECAG00000006370	ENST00000579512
ENSECAG00000006371	ENST00000418630
ENSECAG00000006372	ENST00000628770
ENSECAG00000006373	ENST00000257013
ENSECAG00000006374	ENST00000305051
ENSECAG00000006376	ENST00000250018
ENSECAG00000006377	ENST00000313050
ENSECAG00000006377	ENST00000313050
ENSECAG00000006377	ENST00000431893
ENSECAG00000006378	ENST00000254579
ENSECAG00000006379	ENST00000398014
ENSECAG00000006380	ENST00000388761
ENSECAG00000006383	ENST00000373574
ENSECAG00000006384	ENST00000379071
ENSECAG00000006385	ENST00000426739
ENSECAG00000006385	ENST00000614049
ENSECAG00000006386	ENST00000308278
ENSECAG00000006387	ENST00000503212
ENSECAG00000006391	ENST00000278742
ENSECAG00000006392	ENST00000369002
ENSECAG00000006393	ENST00000356978
ENSECAG00000006397	ENST00000321355
ENSECAG00000006398	ENST00000524401
ENSECAG00000006400	ENST00000448790
ENSECAG00000006401	ENST00000408957
ENSECAG00000006403	ENST00000404569
ENSECAG00000006404	ENST00000397060
ENSECAG00000006405	ENST00000485511
ENSECAG00000006406	ENST00000311170
ENSECAG00000006407	ENST00000380332
ENSECAG00000006409	ENST00000449549
ENSECAG00000006410	ENST00000308275
ENSECAG00000006414	ENST00000409943
ENSECAG00000006416	ENST00000264956
ENSECAG00000006417	ENST00000230050
ENSECAG00000006418	ENST00000356476
ENSECAG00000006419	ENST00000380486
ENSECAG00000006420	ENST00000303749
ENSECAG00000006421	ENST00000376862
ENSECAG00000006422	ENST00000610884
ENSECAG00000006424	ENST00000361987
ENSECAG00000006425	ENST00000339249
ENSECAG00000006427	ENST00000314706
ENSECAG00000006428	ENST00000392336
ENSECAG00000006429	ENST00000296511
ENSECAG00000006430	ENST00000621356
ENSECAG00000006431	ENST00000303596
ENSECAG00000006432	ENST00000418630
ENSECAG00000006434	ENST00000623963
ENSECAG00000006435	ENST00000623963
ENSECAG00000006436	ENST00000263960
ENSECAG00000006437	ENST00000437048
ENSECAG00000006437	ENST00000437048
ENSECAG00000006439	ENST00000394256
ENSECAG00000006440	ENST00000311170
ENSECAG00000006442	ENST00000487273
ENSECAG00000006443	ENST00000261263
ENSECAG00000006445	ENST00000336219
ENSECAG00000006447	ENST00000370761
ENSECAG00000006450	ENST00000316549
ENSECAG00000006451	ENST00000332395
ENSECAG00000006452	ENST00000307630
ENSECAG00000006453	ENST00000300131
ENSECAG00000006454	ENST00000307771
ENSECAG00000006455	ENST00000003100
ENSECAG00000006456	ENST00000261796
ENSECAG00000006457	ENST00000254579
ENSECAG00000006458	ENST00000338366
ENSECAG00000006460	ENST00000418630
ENSECAG00000006462	ENST00000258739
ENSECAG00000006463	ENST00000393537
ENSECAG00000006465	ENST00000311170
ENSECAG00000006466	ENST00000340958
ENSECAG00000006467	ENST00000446524
ENSECAG00000006468	ENST00000269601
ENSECAG00000006469	ENST00000379607
ENSECAG00000006470	ENST00000393110
ENSECAG00000006471	ENST00000466547
ENSECAG00000006472	ENST00000504432
ENSECAG00000006473	ENST00000309675
ENSECAG00000006474	ENST00000254301
ENSECAG00000006475	ENST00000599898
ENSECAG00000006476	ENST00000394593
ENSECAG00000006477	ENST00000359193
ENSECAG00000006481	ENST00000359154
ENSECAG00000006482	ENST00000616725
ENSECAG00000006483	ENST00000320002
ENSECAG00000006484	ENST00000380232
ENSECAG00000006485	ENST00000619286
ENSECAG00000006486	ENST00000394752
ENSECAG00000006487	ENST00000267273
ENSECAG00000006488	ENST00000361760
ENSECAG00000006490	ENST00000305045
ENSECAG00000006491	ENST00000233025
ENSECAG00000006492	ENST00000383247
ENSECAG00000006493	ENST00000409115
ENSECAG00000006494	ENST00000256906
ENSECAG00000006495	ENST00000616091
ENSECAG00000006496	ENST00000356539
ENSECAG00000006497	ENST00000285947
ENSECAG00000006499	ENST00000298110
ENSECAG00000006500	ENST00000284987
ENSECAG00000006501	ENST00000317811
ENSECAG00000006504	ENST00000525955
ENSECAG00000006505	ENST00000292510
ENSECAG00000006506	ENST00000467460
ENSECAG00000006509	ENST00000301263
ENSECAG00000006510	ENST00000256103
ENSECAG00000006511	ENST00000249016
ENSECAG00000006513	ENST00000392585
ENSECAG00000006516	ENST00000370536
ENSECAG00000006518	ENST00000359634
ENSECAG00000006519	ENST00000263073
ENSECAG00000006522	ENST00000444296
ENSECAG00000006524	ENST00000368693
ENSECAG00000006525	ENST00000382762
ENSECAG00000006526	ENST00000381884
ENSECAG00000006527	ENST00000370526
ENSECAG00000006530	ENST00000358691
ENSECAG00000006532	ENST00000311170
ENSECAG00000006534	ENST00000328188
ENSECAG00000006535	ENST00000435846
ENSECAG00000006536	ENST00000390666
ENSECAG00000006538	ENST00000298642
ENSECAG00000006539	ENST00000265564
ENSECAG00000006540	ENST00000357992
ENSECAG00000006542	ENST00000413761
ENSECAG00000006543	ENST00000064778
ENSECAG00000006543	ENST00000356467
ENSECAG00000006544	ENST00000219905
ENSECAG00000006545	ENST00000216879
ENSECAG00000006546	ENST00000584787
ENSECAG00000006547	ENST00000311170
ENSECAG00000006548	ENST00000612823
ENSECAG00000006549	ENST00000542440
ENSECAG00000006550	ENST00000368152
ENSECAG00000006552	ENST00000342788
ENSECAG00000006553	ENST00000539698
ENSECAG00000006554	ENST00000257836
ENSECAG00000006556	ENST00000619481
ENSECAG00000006557	ENST00000319813
ENSECAG00000006558	ENST00000414202
ENSECAG00000006559	ENST00000432767
ENSECAG00000006561	ENST00000632136
ENSECAG00000006562	ENST00000315947
ENSECAG00000006563	ENST00000451561
ENSECAG00000006567	ENST00000596188
ENSECAG00000006568	ENST00000354300
ENSECAG00000006569	ENST00000616727
ENSECAG00000006571	ENST00000380222
ENSECAG00000006573	ENST00000634752
ENSECAG00000006575	ENST00000349139
ENSECAG00000006576	ENST00000244669
ENSECAG00000006577	ENST00000432496
ENSECAG00000006579	ENST00000398189
ENSECAG00000006581	ENST00000337248
ENSECAG00000006582	ENST00000389703
ENSECAG00000006583	ENST00000333026
ENSECAG00000006584	ENST00000503212
ENSECAG00000006585	ENST00000380229
ENSECAG00000006586	ENST00000311170
ENSECAG00000006587	ENST00000466444
ENSECAG00000006588	ENST00000370397
ENSECAG00000006589	ENST00000285398
ENSECAG00000006590	ENST00000610926
ENSECAG00000006591	ENST00000469530
ENSECAG00000006592	ENST00000622694
ENSECAG00000006592	ENST00000622694
ENSECAG00000006594	ENST00000524851
ENSECAG00000006595	ENST00000318507
ENSECAG00000006597	ENST00000634811
ENSECAG00000006597	ENST00000303052
ENSECAG00000006599	ENST00000380229
ENSECAG00000006600	ENST00000590508
ENSECAG00000006601	ENST00000531509
ENSECAG00000006603	ENST00000452598
ENSECAG00000006606	ENST00000289451
ENSECAG00000006607	ENST00000260731
ENSECAG00000006608	ENST00000315693
ENSECAG00000006609	ENST00000331782
ENSECAG00000006611	ENST00000396444
ENSECAG00000006612	ENST00000254605
ENSECAG00000006613	ENST00000311630
ENSECAG00000006614	ENST00000378850
ENSECAG00000006615	ENST00000634397
ENSECAG00000006617	ENST00000311170
ENSECAG00000006619	ENST00000223459
ENSECAG00000006620	ENST00000437025
ENSECAG00000006622	ENST00000503212
ENSECAG00000006623	ENST00000244096
ENSECAG00000006625	ENST00000623829
ENSECAG00000006626	ENST00000426126
ENSECAG00000006630	ENST00000315957
ENSECAG00000006631	ENST00000369160
ENSECAG00000006632	ENST00000255039
ENSECAG00000006633	ENST00000438725
ENSECAG00000006635	ENST00000333629
ENSECAG00000006636	ENST00000370032
ENSECAG00000006637	ENST00000493615
ENSECAG00000006638	ENST00000551025
ENSECAG00000006640	ENST00000509430
ENSECAG00000006641	ENST00000394668
ENSECAG00000006642	ENST00000408957
ENSECAG00000006646	ENST00000338684
ENSECAG00000006647	ENST00000427103
ENSECAG00000006648	ENST00000221327
ENSECAG00000006649	ENST00000542579
ENSECAG00000006649	ENST00000632065
ENSECAG00000006653	ENST00000623829
ENSECAG00000006654	ENST00000312422
ENSECAG00000006655	ENST00000314902
ENSECAG00000006656	ENST00000554357
ENSECAG00000006657	ENST00000303324
ENSECAG00000006658	ENST00000550765
ENSECAG00000006659	ENST00000404914
ENSECAG00000006660	ENST00000230431
ENSECAG00000006662	ENST00000225275
ENSECAG00000006663	ENST00000436743
ENSECAG00000006664	ENST00000331075
ENSECAG00000006665	ENST00000355135
ENSECAG00000006666	ENST00000307584
ENSECAG00000006668	ENST00000309451
ENSECAG00000006669	ENST00000289416
ENSECAG00000006670	ENST00000601891
ENSECAG00000006671	ENST00000356291
ENSECAG00000006673	ENST00000303324
ENSECAG00000006674	ENST00000420652
ENSECAG00000006675	ENST00000418381
ENSECAG00000006678	ENST00000529554
ENSECAG00000006680	ENST00000297109
ENSECAG00000006683	ENST00000448469
ENSECAG00000006684	ENST00000325113
ENSECAG00000006685	ENST00000395999
ENSECAG00000006686	ENST00000409423
ENSECAG00000006687	ENST00000588695
ENSECAG00000006688	ENST00000374987
ENSECAG00000006690	ENST00000610521
ENSECAG00000006691	ENST00000312422
ENSECAG00000006692	ENST00000290541
ENSECAG00000006693	ENST00000315683
ENSECAG00000006694	ENST00000368709
ENSECAG00000006695	ENST00000623976
ENSECAG00000006696	ENST00000376234
ENSECAG00000006697	ENST00000557150
ENSECAG00000006698	ENST00000377325
ENSECAG00000006699	ENST00000330752
ENSECAG00000006700	ENST00000315683
ENSECAG00000006701	ENST00000540964
ENSECAG00000006703	ENST00000529681
ENSECAG00000006704	ENST00000397609
ENSECAG00000006705	ENST00000303324
ENSECAG00000006706	ENST00000372292
ENSECAG00000006707	ENST00000245787
ENSECAG00000006708	ENST00000326092
ENSECAG00000006709	ENST00000315543
ENSECAG00000006710	ENST00000550746
ENSECAG00000006711	ENST00000295683
ENSECAG00000006712	ENST00000270708
ENSECAG00000006713	ENST00000408957
ENSECAG00000006714	ENST00000458121
ENSECAG00000006715	ENST00000332238
ENSECAG00000006716	ENST00000357366
ENSECAG00000006717	ENST00000372393
ENSECAG00000006719	ENST00000265593
ENSECAG00000006720	ENST00000536946
ENSECAG00000006721	ENST00000556010
ENSECAG00000006722	ENST00000280190
ENSECAG00000006723	ENST00000318442
ENSECAG00000006724	ENST00000456329
ENSECAG00000006725	ENST00000426664
ENSECAG00000006726	ENST00000611865
ENSECAG00000006727	ENST00000319856
ENSECAG00000006728	ENST00000480796
ENSECAG00000006729	ENST00000510708
ENSECAG00000006730	ENST00000357366
ENSECAG00000006731	ENST00000378187
ENSECAG00000006732	ENST00000299308
ENSECAG00000006735	ENST00000552446
ENSECAG00000006736	ENST00000375305
ENSECAG00000006737	ENST00000569466
ENSECAG00000006739	ENST00000328882
ENSECAG00000006741	ENST00000380155
ENSECAG00000006741	ENST00000380155
ENSECAG00000006743	ENST00000357366
ENSECAG00000006744	ENST00000369543
ENSECAG00000006745	ENST00000215909
ENSECAG00000006746	ENST00000367002
ENSECAG00000006748	ENST00000379310
ENSECAG00000006749	ENST00000256031
ENSECAG00000006749	ENST00000256031
ENSECAG00000006750	ENST00000298642
ENSECAG00000006751	ENST00000333104
ENSECAG00000006753	ENST00000356454
ENSECAG00000006754	ENST00000312295
ENSECAG00000006755	ENST00000394836
ENSECAG00000006756	ENST00000376970
ENSECAG00000006757	ENST00000377938
ENSECAG00000006759	ENST00000504404
ENSECAG00000006760	ENST00000419782
ENSECAG00000006763	ENST00000521462
ENSECAG00000006764	ENST00000358813
ENSECAG00000006765	ENST00000265741
ENSECAG00000006767	ENST00000332238
ENSECAG00000006768	ENST00000380229
ENSECAG00000006769	ENST00000231238
ENSECAG00000006770	ENST00000611865
ENSECAG00000006771	ENST00000413366
ENSECAG00000006772	ENST00000429174
ENSECAG00000006772	ENST00000410041
ENSECAG00000006773	ENST00000342016
ENSECAG00000006774	ENST00000357366
ENSECAG00000006775	ENST00000309562
ENSECAG00000006776	ENST00000453922
ENSECAG00000006777	ENST00000368586
ENSECAG00000006779	ENST00000282344
ENSECAG00000006780	ENST00000258456
ENSECAG00000006781	ENST00000302625
ENSECAG00000006782	ENST00000358992
ENSECAG00000006783	ENST00000623963
ENSECAG00000006784	ENST00000399410
ENSECAG00000006785	ENST00000377733
ENSECAG00000006787	ENST00000318988
ENSECAG00000006788	ENST00000545128
ENSECAG00000006789	ENST00000519389
ENSECAG00000006789	ENST00000519389
ENSECAG00000006791	ENST00000320901
ENSECAG00000006792	ENST00000255681
ENSECAG00000006796	ENST00000623276
ENSECAG00000006797	ENST00000301529
ENSECAG00000006799	ENST00000557181
ENSECAG00000006800	ENST00000634944
ENSECAG00000006801	ENST00000243346
ENSECAG00000006802	ENST00000302490
ENSECAG00000006802	ENST00000302490
ENSECAG00000006803	ENST00000359152
ENSECAG00000006804	ENST00000619659
ENSECAG00000006805	ENST00000610521
ENSECAG00000006806	ENST00000396123
ENSECAG00000006808	ENST00000626621
ENSECAG00000006810	ENST00000332238
ENSECAG00000006812	ENST00000367302
ENSECAG00000006816	ENST00000320493
ENSECAG00000006816	ENST00000367429
ENSECAG00000006816	ENST00000256785
ENSECAG00000006816	ENST00000367421
ENSECAG00000006818	ENST00000397732
ENSECAG00000006818	ENST00000397732
ENSECAG00000006819	ENST00000377577
ENSECAG00000006820	ENST00000452335
ENSECAG00000006822	ENST00000281830
ENSECAG00000006823	ENST00000357366
ENSECAG00000006824	ENST00000393997
ENSECAG00000006825	ENST00000246841
ENSECAG00000006826	ENST00000612814
ENSECAG00000006827	ENST00000510263
ENSECAG00000006828	ENST00000340533
ENSECAG00000006829	ENST00000376030
ENSECAG00000006830	ENST00000215939
ENSECAG00000006832	ENST00000332831
ENSECAG00000006833	ENST00000552983
ENSECAG00000006835	ENST00000476077
ENSECAG00000006836	ENST00000311069
ENSECAG00000006837	ENST00000373532
ENSECAG00000006838	ENST00000553765
ENSECAG00000006839	ENST00000362091
ENSECAG00000006840	ENST00000287590
ENSECAG00000006841	ENST00000320901
ENSECAG00000006842	ENST00000309403
ENSECAG00000006844	ENST00000424922
ENSECAG00000006846	ENST00000439649
ENSECAG00000006847	ENST00000377346
ENSECAG00000006848	ENST00000506176
ENSECAG00000006850	ENST00000324849
ENSECAG00000006851	ENST00000405901
ENSECAG00000006852	ENST00000594517
ENSECAG00000006853	ENST00000383547
ENSECAG00000006854	ENST00000527879
ENSECAG00000006855	ENST00000432648
ENSECAG00000006856	ENST00000360844
ENSECAG00000006857	ENST00000242323
ENSECAG00000006858	ENST00000533257
ENSECAG00000006859	ENST00000392533
ENSECAG00000006860	ENST00000367796
ENSECAG00000006861	ENST00000314594
ENSECAG00000006862	ENST00000574800
ENSECAG00000006863	ENST00000312345
ENSECAG00000006864	ENST00000315409
ENSECAG00000006865	ENST00000372833
ENSECAG00000006866	ENST00000455537
ENSECAG00000006867	ENST00000533419
ENSECAG00000006868	ENST00000332831
ENSECAG00000006869	ENST00000311277
ENSECAG00000006870	ENST00000621926
ENSECAG00000006871	ENST00000312298
ENSECAG00000006872	ENST00000398030
ENSECAG00000006873	ENST00000306268
ENSECAG00000006875	ENST00000328631
ENSECAG00000006876	ENST00000261637
ENSECAG00000006876	ENST00000261637
ENSECAG00000006877	ENST00000436346
ENSECAG00000006878	ENST00000267085
ENSECAG00000006879	ENST00000375108
ENSECAG00000006880	ENST00000361301
ENSECAG00000006881	ENST00000378026
ENSECAG00000006882	ENST00000300127
ENSECAG00000006883	ENST00000534928
ENSECAG00000006884	ENST00000351111
ENSECAG00000006885	ENST00000326739
ENSECAG00000006886	ENST00000578921
ENSECAG00000006888	ENST00000357366
ENSECAG00000006889	ENST00000332831
ENSECAG00000006890	ENST00000399503
ENSECAG00000006891	ENST00000370476
ENSECAG00000006892	ENST00000357590
ENSECAG00000006893	ENST00000309433
ENSECAG00000006894	ENST00000444920
ENSECAG00000006895	ENST00000617123
ENSECAG00000006896	ENST00000309880
ENSECAG00000006897	ENST00000304720
ENSECAG00000006898	ENST00000412389
ENSECAG00000006899	ENST00000262304
ENSECAG00000006899	ENST00000423118
ENSECAG00000006901	ENST00000371331
ENSECAG00000006902	ENST00000287020
ENSECAG00000006903	ENST00000315519
ENSECAG00000006904	ENST00000366813
ENSECAG00000006905	ENST00000520876
ENSECAG00000006906	ENST00000398802
ENSECAG00000006908	ENST00000311330
ENSECAG00000006910	ENST00000274849
ENSECAG00000006911	ENST00000624032
ENSECAG00000006912	ENST00000433915
ENSECAG00000006913	ENST00000449323
ENSECAG00000006914	ENST00000613079
ENSECAG00000006915	ENST00000319357
ENSECAG00000006916	ENST00000542898
ENSECAG00000006917	ENST00000331597
ENSECAG00000006918	ENST00000333861
ENSECAG00000006920	ENST00000342756
ENSECAG00000006921	ENST00000526028
ENSECAG00000006923	ENST00000358664
ENSECAG00000006925	ENST00000332629
ENSECAG00000006927	ENST00000395079
ENSECAG00000006928	ENST00000408957
ENSECAG00000006929	ENST00000351050
ENSECAG00000006930	ENST00000630979
ENSECAG00000006931	ENST00000396680
ENSECAG00000006932	ENST00000309106
ENSECAG00000006933	ENST00000449498
ENSECAG00000006934	ENST00000406256
ENSECAG00000006935	ENST00000370616
ENSECAG00000006936	ENST00000361124
ENSECAG00000006937	ENST00000035383
ENSECAG00000006938	ENST00000263925
ENSECAG00000006939	ENST00000334438
ENSECAG00000006940	ENST00000332831
ENSECAG00000006942	ENST00000305218
ENSECAG00000006943	ENST00000310301
ENSECAG00000006943	ENST00000310301
ENSECAG00000006944	ENST00000616146
ENSECAG00000006945	ENST00000630256
ENSECAG00000006946	ENST00000304720
ENSECAG00000006948	ENST00000620793
ENSECAG00000006949	ENST00000396185
ENSECAG00000006950	ENST00000590996
ENSECAG00000006951	ENST00000451491
ENSECAG00000006953	ENST00000627593
ENSECAG00000006954	ENST00000312298
ENSECAG00000006955	ENST00000263694
ENSECAG00000006957	ENST00000316724
ENSECAG00000006958	ENST00000331314
ENSECAG00000006959	ENST00000263354
ENSECAG00000006962	ENST00000290472
ENSECAG00000006963	ENST00000277554
ENSECAG00000006964	ENST00000359523
ENSECAG00000006965	ENST00000542167
ENSECAG00000006966	ENST00000289429
ENSECAG00000006968	ENST00000316770
ENSECAG00000006969	ENST00000332831
ENSECAG00000006970	ENST00000308128
ENSECAG00000006971	ENST00000397537
ENSECAG00000006972	ENST00000613071
ENSECAG00000006973	ENST00000314222
ENSECAG00000006975	ENST00000296088
ENSECAG00000006979	ENST00000297107
ENSECAG00000006980	ENST00000278919
ENSECAG00000006981	ENST00000389793
ENSECAG00000006981	ENST00000389793
ENSECAG00000006982	ENST00000332831
ENSECAG00000006983	ENST00000264431
ENSECAG00000006983	ENST00000264431
ENSECAG00000006984	ENST00000633063
ENSECAG00000006985	ENST00000377791
ENSECAG00000006986	ENST00000306312
ENSECAG00000006987	ENST00000617859
ENSECAG00000006988	ENST00000330106
ENSECAG00000006989	ENST00000595615
ENSECAG00000006991	ENST00000563924
ENSECAG00000006992	ENST00000627593
ENSECAG00000006993	ENST00000553765
ENSECAG00000006995	ENST00000234831
ENSECAG00000006996	ENST00000315170
ENSECAG00000006997	ENST00000378572
ENSECAG00000006998	ENST00000521743
ENSECAG00000006998	ENST00000521743
ENSECAG00000006999	ENST00000379344
ENSECAG00000007001	ENST00000605216
ENSECAG00000007001	ENST00000604729
ENSECAG00000007001	ENST00000398706
ENSECAG00000007002	ENST00000393380
ENSECAG00000007003	ENST00000318037
ENSECAG00000007007	ENST00000295770
ENSECAG00000007008	ENST00000623535
ENSECAG00000007009	ENST00000263370
ENSECAG00000007010	ENST00000523500
ENSECAG00000007011	ENST00000298642
ENSECAG00000007012	ENST00000309433
ENSECAG00000007013	ENST00000221486
ENSECAG00000007016	ENST00000312711
ENSECAG00000007018	ENST00000357639
ENSECAG00000007018	ENST00000357639
ENSECAG00000007020	ENST00000325192
ENSECAG00000007021	ENST00000341259
ENSECAG00000007022	ENST00000308077
ENSECAG00000007023	ENST00000303714
ENSECAG00000007024	ENST00000295962
ENSECAG00000007025	ENST00000408979
ENSECAG00000007026	ENST00000250055
ENSECAG00000007027	ENST00000368152
ENSECAG00000007030	ENST00000448105
ENSECAG00000007031	ENST00000412566
ENSECAG00000007032	ENST00000486442
ENSECAG00000007033	ENST00000313555
ENSECAG00000007034	ENST00000311591
ENSECAG00000007035	ENST00000302030
ENSECAG00000007038	ENST00000328882
ENSECAG00000007040	ENST00000338359
ENSECAG00000007041	ENST00000444920
ENSECAG00000007043	ENST00000260447
ENSECAG00000007044	ENST00000512123
ENSECAG00000007047	ENST00000375544
ENSECAG00000007048	ENST00000379807
ENSECAG00000007049	ENST00000360870
ENSECAG00000007051	ENST00000250113
ENSECAG00000007054	ENST00000295131
ENSECAG00000007055	ENST00000302981
ENSECAG00000007058	ENST00000602452
ENSECAG00000007059	ENST00000377733
ENSECAG00000007061	ENST00000257818
ENSECAG00000007062	ENST00000381154
ENSECAG00000007063	ENST00000381861
ENSECAG00000007064	ENST00000315693
ENSECAG00000007066	ENST00000340258
ENSECAG00000007068	ENST00000612174
ENSECAG00000007069	ENST00000260383
ENSECAG00000007070	ENST00000272424
ENSECAG00000007071	ENST00000326153
ENSECAG00000007072	ENST00000374199
ENSECAG00000007074	ENST00000357366
ENSECAG00000007075	ENST00000318666
ENSECAG00000007077	ENST00000536005
ENSECAG00000007078	ENST00000281471
ENSECAG00000007080	ENST00000389048
ENSECAG00000007083	ENST00000274569
ENSECAG00000007084	ENST00000258098
ENSECAG00000007086	ENST00000373110
ENSECAG00000007087	ENST00000313221
ENSECAG00000007088	ENST00000417314
ENSECAG00000007089	ENST00000377266
ENSECAG00000007090	ENST00000262961
ENSECAG00000007090	ENST00000262961
ENSECAG00000007091	ENST00000302124
ENSECAG00000007092	ENST00000312345
ENSECAG00000007094	ENST00000372994
ENSECAG00000007095	ENST00000367328
ENSECAG00000007095	ENST00000367328
ENSECAG00000007097	ENST00000370597
ENSECAG00000007103	ENST00000357332
ENSECAG00000007104	ENST00000345716
ENSECAG00000007105	ENST00000330062
ENSECAG00000007107	ENST00000614798
ENSECAG00000007108	ENST00000394621
ENSECAG00000007111	ENST00000318666
ENSECAG00000007112	ENST00000595392
ENSECAG00000007113	ENST00000252934
ENSECAG00000007115	ENST00000317568
ENSECAG00000007115	ENST00000317568
ENSECAG00000007116	ENST00000634901
ENSECAG00000007116	ENST00000372948
ENSECAG00000007118	ENST00000354429
ENSECAG00000007119	ENST00000623963
ENSECAG00000007120	ENST00000616243
ENSECAG00000007121	ENST00000315683
ENSECAG00000007123	ENST00000263856
ENSECAG00000007124	ENST00000275233
ENSECAG00000007125	ENST00000330838
ENSECAG00000007125	ENST00000358602
ENSECAG00000007126	ENST00000375024
ENSECAG00000007127	ENST00000261374
ENSECAG00000007129	ENST00000628182
ENSECAG00000007132	ENST00000451794
ENSECAG00000007133	ENST00000562206
ENSECAG00000007134	ENST00000359032
ENSECAG00000007134	ENST00000354293
ENSECAG00000007135	ENST00000302610
ENSECAG00000007136	ENST00000382238
ENSECAG00000007137	ENST00000378396
ENSECAG00000007138	ENST00000370830
ENSECAG00000007139	ENST00000249014
ENSECAG00000007140	ENST00000302610
ENSECAG00000007141	ENST00000598976
ENSECAG00000007142	ENST00000398130
ENSECAG00000007142	ENST00000398130
ENSECAG00000007143	ENST00000318124
ENSECAG00000007144	ENST00000318666
ENSECAG00000007145	ENST00000313766
ENSECAG00000007146	ENST00000408979
ENSECAG00000007147	ENST00000532820
ENSECAG00000007149	ENST00000254235
ENSECAG00000007150	ENST00000266070
ENSECAG00000007152	ENST00000452371
ENSECAG00000007153	ENST00000270112
ENSECAG00000007154	ENST00000313033
ENSECAG00000007156	ENST00000389561
ENSECAG00000007156	ENST00000389561
ENSECAG00000007156	ENST00000389561
ENSECAG00000007157	ENST00000409878
ENSECAG00000007159	ENST00000312345
ENSECAG00000007160	ENST00000315693
ENSECAG00000007161	ENST00000331105
ENSECAG00000007162	ENST00000318666
ENSECAG00000007163	ENST00000254227
ENSECAG00000007164	ENST00000373095
ENSECAG00000007165	ENST00000336184
ENSECAG00000007166	ENST00000408979
ENSECAG00000007167	ENST00000312345
ENSECAG00000007168	ENST00000622436
ENSECAG00000007169	ENST00000371274
ENSECAG00000007170	ENST00000527284
ENSECAG00000007171	ENST00000427924
ENSECAG00000007172	ENST00000611678
ENSECAG00000007173	ENST00000271588
ENSECAG00000007173	ENST00000271588
ENSECAG00000007174	ENST00000444920
ENSECAG00000007175	ENST00000369883
ENSECAG00000007176	ENST00000425382
ENSECAG00000007177	ENST00000298746
ENSECAG00000007177	ENST00000298746
ENSECAG00000007179	ENST00000263672
ENSECAG00000007180	ENST00000408979
ENSECAG00000007182	ENST00000219097
ENSECAG00000007183	ENST00000307792
ENSECAG00000007184	ENST00000301039
