ENSECAT00000000009	ENST00000359429
ENSECAT00000007027	ENST00000291576
ENSECAT00000006050	ENST00000322678
ENSECAT00000006053	ENST00000457736
ENSECAT00000006944	ENST00000398319
ENSECAT00000006097	ENST00000631466
ENSECAT00000006029	ENST00000321322
ENSECAT00000006067	ENST00000432767
ENSECAT00000006030	ENST00000557902
ENSECAT00000006048	ENST00000300101
ENSECAT00000006057	ENST00000312891
ENSECAT00000006400	ENST00000374767
ENSECAT00000006039	ENST00000583093
ENSECAT00000006447	ENST00000278927
ENSECAT00000006062	ENST00000223028
ENSECAT00000006082	ENST00000390435
ENSECAT00000006369	ENST00000275162
ENSECAT00000006061	ENST00000313683
ENSECAT00000006217	ENST00000292330
ENSECAT00000006332	ENST00000247226
ENSECAT00000006052	ENST00000322678
ENSECAT00000006099	ENST00000629243
ENSECAT00000006081	ENST00000311413
ENSECAT00000006116	ENST00000625920
ENSECAT00000006065	ENST00000231130
ENSECAT00000007507	ENST00000420886
ENSECAT00000006126	ENST00000284287
ENSECAT00000006059	ENST00000596217
ENSECAT00000006088	ENST00000548615
ENSECAT00000006066	ENST00000349394
ENSECAT00000007360	ENST00000372577
ENSECAT00000006210	ENST00000588740
ENSECAT00000006114	ENST00000343684
ENSECAT00000006383	ENST00000355830
ENSECAT00000006439	ENST00000535113
ENSECAT00000006504	ENST00000394701
ENSECAT00000006071	ENST00000602723
ENSECAT00000006089	ENST00000322678
ENSECAT00000006073	ENST00000310392
ENSECAT00000006100	ENST00000275216
ENSECAT00000006070	ENST00000301258
ENSECAT00000006294	ENST00000503212
ENSECAT00000006092	ENST00000263773
ENSECAT00000006150	ENST00000322608
ENSECAT00000006133	ENST00000355085
ENSECAT00000006310	ENST00000432767
ENSECAT00000006121	ENST00000470917
ENSECAT00000006160	ENST00000613496
ENSECAT00000006282	ENST00000313269
ENSECAT00000006102	ENST00000302610
ENSECAT00000006146	ENST00000611462
ENSECAT00000006119	ENST00000327930
ENSECAT00000006795	ENST00000251810
ENSECAT00000006104	ENST00000322678
ENSECAT00000006212	ENST00000394256
ENSECAT00000006118	ENST00000335185
ENSECAT00000006239	ENST00000525115
ENSECAT00000006636	ENST00000610543
ENSECAT00000006987	ENST00000372476
ENSECAT00000006147	ENST00000302649
ENSECAT00000006365	ENST00000373053
ENSECAT00000006233	ENST00000288532
ENSECAT00000006301	ENST00000407838
ENSECAT00000006719	ENST00000300935
ENSECAT00000006127	ENST00000367931
ENSECAT00000006135	ENST00000612174
ENSECAT00000006172	ENST00000356476
ENSECAT00000006167	ENST00000332831
ENSECAT00000006505	ENST00000376874
ENSECAT00000006781	ENST00000244519
ENSECAT00000006179	ENST00000598776
ENSECAT00000006124	ENST00000312828
ENSECAT00000006645	ENST00000002165
ENSECAT00000006141	ENST00000309154
ENSECAT00000006137	ENST00000369709
ENSECAT00000006429	ENST00000335185
ENSECAT00000006390	ENST00000312648
ENSECAT00000006151	ENST00000367931
ENSECAT00000006156	ENST00000398075
ENSECAT00000006673	ENST00000579039
ENSECAT00000006616	ENST00000254436
ENSECAT00000006508	ENST00000223028
ENSECAT00000007180	ENST00000410055
ENSECAT00000006235	ENST00000309433
ENSECAT00000006163	ENST00000399933
ENSECAT00000006149	ENST00000600626
ENSECAT00000006204	ENST00000397762
ENSECAT00000006155	ENST00000309154
ENSECAT00000006318	ENST00000274643
ENSECAT00000006244	ENST00000311585
ENSECAT00000006231	ENST00000544374
ENSECAT00000006252	ENST00000315947
ENSECAT00000006225	ENST00000633328
ENSECAT00000006292	ENST00000250056
ENSECAT00000006228	ENST00000313434
ENSECAT00000006573	ENST00000406297
ENSECAT00000006238	ENST00000431067
ENSECAT00000006191	ENST00000311170
ENSECAT00000006251	ENST00000309154
ENSECAT00000006194	ENST00000612521
ENSECAT00000006201	ENST00000626843
ENSECAT00000007933	ENST00000231498
ENSECAT00000006211	ENST00000259569
ENSECAT00000006195	ENST00000299204
ENSECAT00000006521	ENST00000280333
ENSECAT00000006198	ENST00000285600
ENSECAT00000006377	ENST00000379031
ENSECAT00000006275	ENST00000317233
ENSECAT00000006216	ENST00000296130
ENSECAT00000006188	ENST00000507416
ENSECAT00000006380	ENST00000316386
ENSECAT00000006272	ENST00000598776
ENSECAT00000006253	ENST00000302362
ENSECAT00000006778	ENST00000308624
ENSECAT00000006752	ENST00000395526
ENSECAT00000006799	ENST00000395526
ENSECAT00000006226	ENST00000623963
ENSECAT00000006197	ENST00000311170
ENSECAT00000006708	ENST00000246672
ENSECAT00000006560	ENST00000263102
ENSECAT00000006299	ENST00000381176
ENSECAT00000006431	ENST00000344774
ENSECAT00000006283	ENST00000306442
ENSECAT00000006242	ENST00000315915
ENSECAT00000007193	ENST00000261596
ENSECAT00000007256	ENST00000261596
ENSECAT00000006288	ENST00000356476
ENSECAT00000006257	ENST00000321688
ENSECAT00000006250	ENST00000344545
ENSECAT00000006516	ENST00000228820
ENSECAT00000006703	ENST00000270162
ENSECAT00000008272	ENST00000268712
ENSECAT00000007145	ENST00000361475
ENSECAT00000006342	ENST00000355520
ENSECAT00000006940	ENST00000332245
ENSECAT00000006232	ENST00000623963
ENSECAT00000006240	ENST00000370809
ENSECAT00000006305	ENST00000372841
ENSECAT00000006464	ENST00000574538
ENSECAT00000006414	ENST00000359232
ENSECAT00000006742	ENST00000287152
ENSECAT00000007282	ENST00000431162
ENSECAT00000006971	ENST00000620913
ENSECAT00000006277	ENST00000408898
ENSECAT00000006270	ENST00000557457
ENSECAT00000006246	ENST00000460732
ENSECAT00000006360	ENST00000359586
ENSECAT00000006307	ENST00000245312
ENSECAT00000006595	ENST00000261381
ENSECAT00000006258	ENST00000408957
ENSECAT00000006263	ENST00000298642
ENSECAT00000006259	ENST00000408957
ENSECAT00000006295	ENST00000257013
ENSECAT00000006417	ENST00000265070
ENSECAT00000006262	ENST00000392040
ENSECAT00000006264	ENST00000498839
ENSECAT00000006303	ENST00000626843
ENSECAT00000006296	ENST00000285600
ENSECAT00000006321	ENST00000309154
ENSECAT00000006452	ENST00000404459
ENSECAT00000006370	ENST00000298545
ENSECAT00000007476	ENST00000513440
ENSECAT00000006362	ENST00000394256
ENSECAT00000006265	ENST00000366711
ENSECAT00000006574	ENST00000621161
ENSECAT00000006982	ENST00000284268
ENSECAT00000006302	ENST00000319004
ENSECAT00000006478	ENST00000378875
ENSECAT00000006465	ENST00000298642
ENSECAT00000006788	ENST00000361794
ENSECAT00000006329	ENST00000228289
ENSECAT00000006290	ENST00000318469
ENSECAT00000006285	ENST00000327968
ENSECAT00000006562	ENST00000316770
ENSECAT00000006313	ENST00000369577
ENSECAT00000006602	ENST00000395787
ENSECAT00000006397	ENST00000272342
ENSECAT00000006330	ENST00000311765
ENSECAT00000006327	ENST00000361760
ENSECAT00000006349	ENST00000322608
ENSECAT00000006650	ENST00000615206
ENSECAT00000007820	ENST00000276072
ENSECAT00000007830	ENST00000276072
ENSECAT00000006615	ENST00000532522
ENSECAT00000006340	ENST00000579512
ENSECAT00000006361	ENST00000418630
ENSECAT00000006374	ENST00000628770
ENSECAT00000006331	ENST00000257013
ENSECAT00000006420	ENST00000305051
ENSECAT00000007190	ENST00000250018
ENSECAT00000007358	ENST00000313050
ENSECAT00000007387	ENST00000313050
ENSECAT00000007393	ENST00000431893
ENSECAT00000006319	ENST00000254579
ENSECAT00000006663	ENST00000398014
ENSECAT00000006324	ENST00000388761
ENSECAT00000006472	ENST00000373574
ENSECAT00000006436	ENST00000379071
ENSECAT00000006395	ENST00000426739
ENSECAT00000006412	ENST00000614049
ENSECAT00000006359	ENST00000308278
ENSECAT00000006490	ENST00000503212
ENSECAT00000006956	ENST00000278742
ENSECAT00000007291	ENST00000369002
ENSECAT00000006328	ENST00000356978
ENSECAT00000006355	ENST00000321355
ENSECAT00000006381	ENST00000524401
ENSECAT00000006807	ENST00000448790
ENSECAT00000006339	ENST00000408957
ENSECAT00000006610	ENST00000404569
ENSECAT00000006869	ENST00000397060
ENSECAT00000007850	ENST00000485511
ENSECAT00000006366	ENST00000311170
ENSECAT00000006404	ENST00000380332
ENSECAT00000006357	ENST00000449549
ENSECAT00000006704	ENST00000308275
ENSECAT00000006394	ENST00000409943
ENSECAT00000006950	ENST00000264956
ENSECAT00000006411	ENST00000230050
ENSECAT00000006405	ENST00000356476
ENSECAT00000006840	ENST00000380486
ENSECAT00000006419	ENST00000303749
ENSECAT00000006450	ENST00000376862
ENSECAT00000006713	ENST00000610884
ENSECAT00000006471	ENST00000361987
ENSECAT00000006368	ENST00000339249
ENSECAT00000006391	ENST00000314706
ENSECAT00000006601	ENST00000392336
ENSECAT00000007591	ENST00000296511
ENSECAT00000006745	ENST00000621356
ENSECAT00000006382	ENST00000303596
ENSECAT00000006387	ENST00000418630
ENSECAT00000006386	ENST00000623963
ENSECAT00000006551	ENST00000623963
ENSECAT00000006606	ENST00000263960
ENSECAT00000007343	ENST00000437048
ENSECAT00000007354	ENST00000437048
ENSECAT00000006401	ENST00000394256
ENSECAT00000006388	ENST00000311170
ENSECAT00000007148	ENST00000487273
ENSECAT00000006425	ENST00000261263
ENSECAT00000006427	ENST00000336219
ENSECAT00000006389	ENST00000370761
ENSECAT00000006554	ENST00000316549
ENSECAT00000006408	ENST00000332395
ENSECAT00000006396	ENST00000307630
ENSECAT00000006747	ENST00000300131
ENSECAT00000006873	ENST00000307771
ENSECAT00000007052	ENST00000003100
ENSECAT00000006403	ENST00000261796
ENSECAT00000006541	ENST00000254579
ENSECAT00000006619	ENST00000338366
ENSECAT00000006410	ENST00000418630
ENSECAT00000006623	ENST00000258739
ENSECAT00000006426	ENST00000393537
ENSECAT00000006445	ENST00000311170
ENSECAT00000006451	ENST00000340958
ENSECAT00000006402	ENST00000446524
ENSECAT00000006569	ENST00000269601
ENSECAT00000006677	ENST00000379607
ENSECAT00000006653	ENST00000393110
ENSECAT00000006435	ENST00000466547
ENSECAT00000006865	ENST00000504432
ENSECAT00000006509	ENST00000309675
ENSECAT00000006682	ENST00000254301
ENSECAT00000006424	ENST00000599898
ENSECAT00000006441	ENST00000394593
ENSECAT00000006483	ENST00000359193
ENSECAT00000007141	ENST00000359154
ENSECAT00000006933	ENST00000616725
ENSECAT00000006519	ENST00000320002
ENSECAT00000006501	ENST00000380232
ENSECAT00000006498	ENST00000619286
ENSECAT00000007196	ENST00000394752
ENSECAT00000006515	ENST00000267273
ENSECAT00000006438	ENST00000361760
ENSECAT00000006548	ENST00000305045
ENSECAT00000006430	ENST00000233025
ENSECAT00000006449	ENST00000383247
ENSECAT00000006486	ENST00000409115
ENSECAT00000006457	ENST00000256906
ENSECAT00000007015	ENST00000616091
ENSECAT00000006470	ENST00000356539
ENSECAT00000006488	ENST00000285947
ENSECAT00000006442	ENST00000298110
ENSECAT00000006647	ENST00000284987
ENSECAT00000006443	ENST00000317811
ENSECAT00000006618	ENST00000525955
ENSECAT00000006916	ENST00000292510
ENSECAT00000006845	ENST00000467460
ENSECAT00000006497	ENST00000301263
ENSECAT00000006812	ENST00000256103
ENSECAT00000006547	ENST00000249016
ENSECAT00000006456	ENST00000392585
ENSECAT00000006458	ENST00000370536
ENSECAT00000006665	ENST00000359634
ENSECAT00000006856	ENST00000263073
ENSECAT00000006715	ENST00000444296
ENSECAT00000006911	ENST00000368693
ENSECAT00000006485	ENST00000382762
ENSECAT00000006802	ENST00000381884
ENSECAT00000006466	ENST00000370526
ENSECAT00000006473	ENST00000358691
ENSECAT00000006479	ENST00000311170
ENSECAT00000006489	ENST00000328188
ENSECAT00000006484	ENST00000435846
ENSECAT00000006480	ENST00000390666
ENSECAT00000006494	ENST00000298642
ENSECAT00000006953	ENST00000265564
ENSECAT00000006690	ENST00000357992
ENSECAT00000006524	ENST00000413761
ENSECAT00000006655	ENST00000064778
ENSECAT00000006661	ENST00000356467
ENSECAT00000007089	ENST00000219905
ENSECAT00000007007	ENST00000216879
ENSECAT00000006598	ENST00000584787
ENSECAT00000006520	ENST00000311170
ENSECAT00000006506	ENST00000612823
ENSECAT00000007091	ENST00000542440
ENSECAT00000006539	ENST00000368152
ENSECAT00000006495	ENST00000342788
ENSECAT00000006503	ENST00000539698
ENSECAT00000006626	ENST00000257836
ENSECAT00000006499	ENST00000619481
ENSECAT00000006668	ENST00000319813
ENSECAT00000007239	ENST00000414202
ENSECAT00000006633	ENST00000432767
ENSECAT00000006571	ENST00000632136
ENSECAT00000006563	ENST00000315947
ENSECAT00000006502	ENST00000451561
ENSECAT00000006535	ENST00000596188
ENSECAT00000006678	ENST00000354300
ENSECAT00000006568	ENST00000616727
ENSECAT00000006526	ENST00000380222
ENSECAT00000006559	ENST00000634752
ENSECAT00000007455	ENST00000349139
ENSECAT00000006589	ENST00000244669
ENSECAT00000007160	ENST00000432496
ENSECAT00000006529	ENST00000398189
ENSECAT00000006727	ENST00000337248
ENSECAT00000007107	ENST00000389703
ENSECAT00000006584	ENST00000333026
ENSECAT00000006561	ENST00000503212
ENSECAT00000006534	ENST00000380229
ENSECAT00000006553	ENST00000311170
ENSECAT00000006834	ENST00000466444
ENSECAT00000007996	ENST00000370397
ENSECAT00000007233	ENST00000285398
ENSECAT00000006549	ENST00000610926
ENSECAT00000006824	ENST00000469530
ENSECAT00000006654	ENST00000622694
ENSECAT00000006674	ENST00000622694
ENSECAT00000006542	ENST00000524851
ENSECAT00000006652	ENST00000318507
ENSECAT00000007224	ENST00000634811
ENSECAT00000007226	ENST00000303052
ENSECAT00000006631	ENST00000380229
ENSECAT00000006828	ENST00000590508
ENSECAT00000006614	ENST00000531509
ENSECAT00000007538	ENST00000452598
ENSECAT00000006570	ENST00000289451
ENSECAT00000007114	ENST00000260731
ENSECAT00000006575	ENST00000315693
ENSECAT00000007287	ENST00000331782
ENSECAT00000007330	ENST00000396444
ENSECAT00000006817	ENST00000254605
ENSECAT00000006628	ENST00000311630
ENSECAT00000006698	ENST00000378850
ENSECAT00000007296	ENST00000634397
ENSECAT00000006577	ENST00000311170
ENSECAT00000006572	ENST00000223459
ENSECAT00000007044	ENST00000437025
ENSECAT00000006596	ENST00000503212
ENSECAT00000006580	ENST00000244096
ENSECAT00000006594	ENST00000623829
ENSECAT00000007163	ENST00000426126
ENSECAT00000006591	ENST00000315957
ENSECAT00000006593	ENST00000369160
ENSECAT00000006838	ENST00000255039
ENSECAT00000006986	ENST00000438725
ENSECAT00000006635	ENST00000333629
ENSECAT00000006762	ENST00000370032
ENSECAT00000006711	ENST00000493615
ENSECAT00000006930	ENST00000551025
ENSECAT00000007723	ENST00000509430
ENSECAT00000006629	ENST00000394668
ENSECAT00000006590	ENST00000408957
ENSECAT00000006823	ENST00000338684
ENSECAT00000006902	ENST00000427103
ENSECAT00000006686	ENST00000221327
ENSECAT00000007313	ENST00000542579
ENSECAT00000007499	ENST00000632065
ENSECAT00000006730	ENST00000623829
ENSECAT00000006640	ENST00000312422
ENSECAT00000006612	ENST00000314902
ENSECAT00000006607	ENST00000554357
ENSECAT00000006646	ENST00000303324
ENSECAT00000006768	ENST00000550765
ENSECAT00000006695	ENST00000404914
ENSECAT00000006624	ENST00000230431
ENSECAT00000007644	ENST00000225275
ENSECAT00000007071	ENST00000436743
ENSECAT00000007166	ENST00000331075
ENSECAT00000007053	ENST00000355135
ENSECAT00000006670	ENST00000307584
ENSECAT00000006691	ENST00000309451
ENSECAT00000007072	ENST00000289416
ENSECAT00000006634	ENST00000601891
ENSECAT00000006723	ENST00000356291
ENSECAT00000006896	ENST00000303324
ENSECAT00000006852	ENST00000420652
ENSECAT00000007470	ENST00000418381
ENSECAT00000006851	ENST00000529554
ENSECAT00000006638	ENST00000297109
ENSECAT00000007336	ENST00000448469
ENSECAT00000006988	ENST00000325113
ENSECAT00000006835	ENST00000395999
ENSECAT00000006809	ENST00000409423
ENSECAT00000006796	ENST00000588695
ENSECAT00000006642	ENST00000374987
ENSECAT00000006710	ENST00000610521
ENSECAT00000006685	ENST00000312422
ENSECAT00000007115	ENST00000290541
ENSECAT00000006643	ENST00000315683
ENSECAT00000006792	ENST00000368709
ENSECAT00000006803	ENST00000623976
ENSECAT00000007162	ENST00000376234
ENSECAT00000006657	ENST00000557150
ENSECAT00000006720	ENST00000377325
ENSECAT00000006681	ENST00000330752
ENSECAT00000006648	ENST00000315683
ENSECAT00000006656	ENST00000540964
ENSECAT00000006883	ENST00000529681
ENSECAT00000006844	ENST00000397609
ENSECAT00000006679	ENST00000303324
ENSECAT00000007078	ENST00000372292
ENSECAT00000006893	ENST00000245787
ENSECAT00000006694	ENST00000326092
ENSECAT00000006658	ENST00000315543
ENSECAT00000007472	ENST00000550746
ENSECAT00000006705	ENST00000295683
ENSECAT00000007388	ENST00000270708
ENSECAT00000006672	ENST00000408957
ENSECAT00000006736	ENST00000458121
ENSECAT00000006662	ENST00000332238
ENSECAT00000006676	ENST00000357366
ENSECAT00000007510	ENST00000372393
ENSECAT00000007623	ENST00000265593
ENSECAT00000006683	ENST00000536946
ENSECAT00000006926	ENST00000556010
ENSECAT00000007236	ENST00000280190
ENSECAT00000006699	ENST00000318442
ENSECAT00000006687	ENST00000456329
ENSECAT00000006825	ENST00000426664
ENSECAT00000006717	ENST00000611865
ENSECAT00000006749	ENST00000319856
ENSECAT00000007048	ENST00000480796
ENSECAT00000006743	ENST00000510708
ENSECAT00000006689	ENST00000357366
ENSECAT00000006692	ENST00000378187
ENSECAT00000006800	ENST00000299308
ENSECAT00000006739	ENST00000552446
ENSECAT00000007223	ENST00000375305
ENSECAT00000006952	ENST00000569466
ENSECAT00000006700	ENST00000328882
ENSECAT00000007202	ENST00000380155
ENSECAT00000007238	ENST00000380155
ENSECAT00000006722	ENST00000357366
ENSECAT00000006721	ENST00000369543
ENSECAT00000007033	ENST00000215909
ENSECAT00000006753	ENST00000367002
ENSECAT00000008076	ENST00000379310
ENSECAT00000007109	ENST00000256031
ENSECAT00000007136	ENST00000256031
ENSECAT00000006712	ENST00000298642
ENSECAT00000006714	ENST00000333104
ENSECAT00000006709	ENST00000356454
ENSECAT00000006744	ENST00000312295
ENSECAT00000006983	ENST00000394836
ENSECAT00000007329	ENST00000376970
ENSECAT00000006734	ENST00000377938
ENSECAT00000006733	ENST00000504404
ENSECAT00000006756	ENST00000419782
ENSECAT00000006725	ENST00000521462
ENSECAT00000006846	ENST00000358813
ENSECAT00000006779	ENST00000265741
ENSECAT00000006737	ENST00000332238
ENSECAT00000006754	ENST00000380229
ENSECAT00000007006	ENST00000231238
ENSECAT00000006970	ENST00000611865
ENSECAT00000008132	ENST00000413366
ENSECAT00000008744	ENST00000429174
ENSECAT00000008765	ENST00000410041
ENSECAT00000007189	ENST00000342016
ENSECAT00000006770	ENST00000357366
ENSECAT00000006793	ENST00000309562
ENSECAT00000006738	ENST00000453922
ENSECAT00000007217	ENST00000368586
ENSECAT00000007099	ENST00000282344
ENSECAT00000006760	ENST00000258456
ENSECAT00000006751	ENST00000302625
ENSECAT00000006837	ENST00000358992
ENSECAT00000006746	ENST00000623963
ENSECAT00000007396	ENST00000399410
ENSECAT00000006849	ENST00000377733
ENSECAT00000007081	ENST00000318988
ENSECAT00000008169	ENST00000545128
ENSECAT00000007595	ENST00000519389
ENSECAT00000007608	ENST00000519389
ENSECAT00000006759	ENST00000320901
ENSECAT00000006774	ENST00000255681
ENSECAT00000006780	ENST00000623276
ENSECAT00000006814	ENST00000301529
ENSECAT00000006764	ENST00000557181
ENSECAT00000007316	ENST00000634944
ENSECAT00000007058	ENST00000243346
ENSECAT00000007670	ENST00000302490
ENSECAT00000007742	ENST00000302490
ENSECAT00000007290	ENST00000359152
ENSECAT00000006784	ENST00000619659
ENSECAT00000006847	ENST00000610521
ENSECAT00000006783	ENST00000396123
ENSECAT00000007408	ENST00000626621
ENSECAT00000006772	ENST00000332238
ENSECAT00000006786	ENST00000367302
ENSECAT00000006831	ENST00000320493
ENSECAT00000006918	ENST00000367429
ENSECAT00000006979	ENST00000256785
ENSECAT00000007016	ENST00000367421
ENSECAT00000006967	ENST00000397732
ENSECAT00000007132	ENST00000397732
ENSECAT00000007404	ENST00000377577
ENSECAT00000006905	ENST00000452335
ENSECAT00000006785	ENST00000281830
ENSECAT00000006787	ENST00000357366
ENSECAT00000007622	ENST00000393997
ENSECAT00000006897	ENST00000246841
ENSECAT00000006927	ENST00000612814
ENSECAT00000007021	ENST00000510263
ENSECAT00000006822	ENST00000340533
ENSECAT00000007260	ENST00000376030
ENSECAT00000007146	ENST00000215939
ENSECAT00000006789	ENST00000332831
ENSECAT00000006791	ENST00000552983
ENSECAT00000006808	ENST00000476077
ENSECAT00000006841	ENST00000311069
ENSECAT00000006830	ENST00000373532
ENSECAT00000006813	ENST00000553765
ENSECAT00000007671	ENST00000362091
ENSECAT00000006805	ENST00000287590
ENSECAT00000006820	ENST00000320901
ENSECAT00000006815	ENST00000309403
ENSECAT00000007157	ENST00000424922
ENSECAT00000006910	ENST00000439649
ENSECAT00000007780	ENST00000377346
ENSECAT00000007607	ENST00000506176
ENSECAT00000007331	ENST00000324849
ENSECAT00000007012	ENST00000405901
ENSECAT00000006826	ENST00000594517
ENSECAT00000006839	ENST00000383547
ENSECAT00000006832	ENST00000527879
ENSECAT00000006816	ENST00000432648
ENSECAT00000006871	ENST00000360844
ENSECAT00000006934	ENST00000242323
ENSECAT00000006819	ENST00000533257
ENSECAT00000007673	ENST00000392533
ENSECAT00000007031	ENST00000367796
ENSECAT00000007054	ENST00000314594
ENSECAT00000006821	ENST00000574800
ENSECAT00000006882	ENST00000312345
ENSECAT00000006842	ENST00000315409
ENSECAT00000006833	ENST00000372833
ENSECAT00000008104	ENST00000455537
ENSECAT00000006848	ENST00000533419
ENSECAT00000006843	ENST00000332831
ENSECAT00000007151	ENST00000311277
ENSECAT00000006923	ENST00000621926
ENSECAT00000006977	ENST00000312298
ENSECAT00000006860	ENST00000398030
ENSECAT00000006880	ENST00000306268
ENSECAT00000007129	ENST00000328631
ENSECAT00000007586	ENST00000261637
ENSECAT00000007600	ENST00000261637
ENSECAT00000007818	ENST00000436346
ENSECAT00000007643	ENST00000267085
ENSECAT00000007285	ENST00000375108
ENSECAT00000007025	ENST00000361301
ENSECAT00000006854	ENST00000378026
ENSECAT00000006850	ENST00000300127
ENSECAT00000006962	ENST00000534928
ENSECAT00000007008	ENST00000351111
ENSECAT00000007706	ENST00000326739
ENSECAT00000006904	ENST00000578921
ENSECAT00000006857	ENST00000357366
ENSECAT00000006898	ENST00000332831
ENSECAT00000007112	ENST00000399503
ENSECAT00000007184	ENST00000370476
ENSECAT00000007004	ENST00000357590
ENSECAT00000006914	ENST00000309433
ENSECAT00000006998	ENST00000444920
ENSECAT00000006874	ENST00000617123
ENSECAT00000006862	ENST00000309880
ENSECAT00000006879	ENST00000304720
ENSECAT00000007046	ENST00000412389
ENSECAT00000008193	ENST00000262304
ENSECAT00000008270	ENST00000423118
ENSECAT00000006894	ENST00000371331
ENSECAT00000006941	ENST00000287020
ENSECAT00000006954	ENST00000315519
ENSECAT00000006972	ENST00000366813
ENSECAT00000007065	ENST00000520876
ENSECAT00000007075	ENST00000398802
ENSECAT00000006876	ENST00000311330
ENSECAT00000006948	ENST00000274849
ENSECAT00000006951	ENST00000624032
ENSECAT00000006924	ENST00000433915
ENSECAT00000006892	ENST00000449323
ENSECAT00000006891	ENST00000613079
ENSECAT00000007186	ENST00000319357
ENSECAT00000006974	ENST00000542898
ENSECAT00000007339	ENST00000331597
ENSECAT00000006890	ENST00000333861
ENSECAT00000007714	ENST00000342756
ENSECAT00000006920	ENST00000526028
ENSECAT00000007199	ENST00000358664
ENSECAT00000006931	ENST00000332629
ENSECAT00000006913	ENST00000395079
ENSECAT00000006935	ENST00000408957
ENSECAT00000006960	ENST00000351050
ENSECAT00000006939	ENST00000630979
ENSECAT00000006900	ENST00000396680
ENSECAT00000006901	ENST00000309106
ENSECAT00000006903	ENST00000449498
ENSECAT00000007307	ENST00000406256
ENSECAT00000006912	ENST00000370616
ENSECAT00000006906	ENST00000361124
ENSECAT00000007298	ENST00000035383
ENSECAT00000006915	ENST00000263925
ENSECAT00000006992	ENST00000334438
ENSECAT00000006929	ENST00000332831
ENSECAT00000007380	ENST00000305218
ENSECAT00000007739	ENST00000310301
ENSECAT00000007842	ENST00000310301
ENSECAT00000006945	ENST00000616146
ENSECAT00000006908	ENST00000630256
ENSECAT00000006932	ENST00000304720
ENSECAT00000006949	ENST00000620793
ENSECAT00000007477	ENST00000396185
ENSECAT00000007802	ENST00000590996
ENSECAT00000006936	ENST00000451491
ENSECAT00000006928	ENST00000627593
ENSECAT00000006975	ENST00000312298
ENSECAT00000007389	ENST00000263694
ENSECAT00000007870	ENST00000316724
ENSECAT00000007179	ENST00000331314
ENSECAT00000007461	ENST00000263354
ENSECAT00000007306	ENST00000290472
ENSECAT00000007147	ENST00000277554
ENSECAT00000007097	ENST00000359523
ENSECAT00000006984	ENST00000542167
ENSECAT00000006946	ENST00000289429
ENSECAT00000006955	ENST00000316770
ENSECAT00000006942	ENST00000332831
ENSECAT00000007234	ENST00000308128
ENSECAT00000006963	ENST00000397537
ENSECAT00000006943	ENST00000613071
ENSECAT00000006947	ENST00000314222
ENSECAT00000007045	ENST00000296088
ENSECAT00000007410	ENST00000297107
ENSECAT00000007367	ENST00000278919
ENSECAT00000008004	ENST00000389793
ENSECAT00000008047	ENST00000389793
ENSECAT00000006973	ENST00000332831
ENSECAT00000007816	ENST00000264431
ENSECAT00000007822	ENST00000264431
ENSECAT00000007281	ENST00000633063
ENSECAT00000006961	ENST00000377791
ENSECAT00000007787	ENST00000306312
ENSECAT00000007095	ENST00000617859
ENSECAT00000006958	ENST00000330106
ENSECAT00000006991	ENST00000595615
ENSECAT00000007743	ENST00000563924
ENSECAT00000006978	ENST00000627593
ENSECAT00000007108	ENST00000553765
ENSECAT00000007365	ENST00000234831
ENSECAT00000007018	ENST00000315170
ENSECAT00000007036	ENST00000378572
ENSECAT00000008045	ENST00000521743
ENSECAT00000008052	ENST00000521743
ENSECAT00000007292	ENST00000379344
ENSECAT00000007868	ENST00000605216
ENSECAT00000007997	ENST00000604729
ENSECAT00000008058	ENST00000398706
ENSECAT00000007043	ENST00000393380
ENSECAT00000007069	ENST00000318037
ENSECAT00000007362	ENST00000295770
ENSECAT00000007338	ENST00000623535
ENSECAT00000007194	ENST00000263370
ENSECAT00000007460	ENST00000523500
ENSECAT00000007002	ENST00000298642
ENSECAT00000006997	ENST00000309433
ENSECAT00000007283	ENST00000221486
ENSECAT00000006996	ENST00000312711
ENSECAT00000007581	ENST00000357639
ENSECAT00000007617	ENST00000357639
ENSECAT00000007092	ENST00000325192
ENSECAT00000007051	ENST00000341259
ENSECAT00000007244	ENST00000308077
ENSECAT00000007618	ENST00000303714
ENSECAT00000007312	ENST00000295962
ENSECAT00000007010	ENST00000408979
ENSECAT00000007013	ENST00000250055
ENSECAT00000007183	ENST00000368152
ENSECAT00000007014	ENST00000448105
ENSECAT00000007090	ENST00000412566
ENSECAT00000007173	ENST00000486442
ENSECAT00000007056	ENST00000313555
ENSECAT00000007020	ENST00000311591
ENSECAT00000007005	ENST00000302030
ENSECAT00000007030	ENST00000328882
ENSECAT00000007017	ENST00000338359
ENSECAT00000007143	ENST00000444920
ENSECAT00000007126	ENST00000260447
ENSECAT00000008119	ENST00000512123
ENSECAT00000007366	ENST00000375544
ENSECAT00000007225	ENST00000379807
ENSECAT00000007060	ENST00000360870
ENSECAT00000007650	ENST00000250113
ENSECAT00000007248	ENST00000295131
ENSECAT00000007035	ENST00000302981
ENSECAT00000007041	ENST00000602452
ENSECAT00000007116	ENST00000377733
ENSECAT00000007113	ENST00000257818
ENSECAT00000007319	ENST00000381154
ENSECAT00000007067	ENST00000381861
ENSECAT00000007042	ENST00000315693
