ENSECAG00000000002	ENSG00000197713
ENSECAG00000002389	ENSG00000178445
ENSECAG00000002390	ENSG00000133169
ENSECAG00000002391	ENSG00000221944
ENSECAG00000002392	ENSG00000198948
ENSECAG00000002394	ENSG00000196475
ENSECAG00000002395	ENSG00000185372
ENSECAG00000002399	ENSG00000177535
ENSECAG00000002400	ENSG00000186260
ENSECAG00000002401	ENSG00000143552
ENSECAG00000002405	ENSG00000221813
ENSECAG00000002408	ENSG00000181894
ENSECAG00000002410	ENSG00000163257
ENSECAG00000002411	ENSG00000125878
ENSECAG00000002412	ENSG00000164713
ENSECAG00000002413	ENSG00000163534
ENSECAG00000002414	ENSG00000197860
ENSECAG00000002415	ENSG00000140522
ENSECAG00000002417	ENSG00000198739
ENSECAG00000002419	ENSG00000279906
ENSECAG00000002421	ENSG00000176895
ENSECAG00000002425	ENSG00000198948
ENSECAG00000002428	ENSG00000143756
ENSECAG00000002429	ENSG00000144893
ENSECAG00000002429	ENSG00000144893
ENSECAG00000002429	ENSG00000144893
ENSECAG00000002429	ENSG00000144893
ENSECAG00000002430	ENSG00000115592
ENSECAG00000002434	ENSG00000188277
ENSECAG00000002436	ENSG00000279906
ENSECAG00000002437	ENSG00000165030
ENSECAG00000002438	ENSG00000196209
ENSECAG00000002443	ENSG00000262731
ENSECAG00000002445	ENSG00000122026
ENSECAG00000002446	ENSG00000137440
ENSECAG00000002447	ENSG00000239590
ENSECAG00000002448	ENSG00000176895
ENSECAG00000002449	ENSG00000211793
ENSECAG00000002451	ENSG00000237521
ENSECAG00000002452	ENSG00000176714
ENSECAG00000002454	ENSG00000177689
ENSECAG00000002455	ENSG00000182318
ENSECAG00000002456	ENSG00000178966
ENSECAG00000002457	ENSG00000237521
ENSECAG00000002458	ENSG00000272031
ENSECAG00000002459	ENSG00000181733
ENSECAG00000002460	ENSG00000135535
ENSECAG00000002462	ENSG00000138756
ENSECAG00000002463	ENSG00000167359
ENSECAG00000002466	ENSG00000136834
ENSECAG00000002472	ENSG00000204131
ENSECAG00000002478	ENSG00000147224
ENSECAG00000002479	ENSG00000205755
ENSECAG00000002482	ENSG00000122490
ENSECAG00000002484	ENSG00000254834
ENSECAG00000002485	ENSG00000176979
ENSECAG00000002486	ENSG00000186766
ENSECAG00000002487	ENSG00000172146
ENSECAG00000002490	ENSG00000137393
ENSECAG00000002491	ENSG00000142279
ENSECAG00000002493	ENSG00000102837
ENSECAG00000002496	ENSG00000180787
ENSECAG00000002499	ENSG00000189023
ENSECAG00000002500	ENSG00000197233
ENSECAG00000002502	ENSG00000136535
ENSECAG00000002505	ENSG00000172320
ENSECAG00000002506	ENSG00000109705
ENSECAG00000002508	ENSG00000162777
ENSECAG00000002509	ENSG00000261603
ENSECAG00000002512	ENSG00000169327
ENSECAG00000002513	ENSG00000186871
ENSECAG00000002514	ENSG00000262347
ENSECAG00000002515	ENSG00000172464
ENSECAG00000026983	ENSG00000204822
ENSECAG00000026902	ENSG00000011566
ENSECAG00000002518	ENSG00000146618
ENSECAG00000002519	ENSG00000196767
ENSECAG00000002520	ENSG00000022567
ENSECAG00000002521	ENSG00000173786
ENSECAG00000002522	ENSG00000139998
ENSECAG00000002523	ENSG00000186212
ENSECAG00000002524	ENSG00000237521
ENSECAG00000002531	ENSG00000136897
ENSECAG00000002537	ENSG00000121634
ENSECAG00000002538	ENSG00000006128
ENSECAG00000002539	ENSG00000237521
ENSECAG00000002540	ENSG00000224373
ENSECAG00000002541	ENSG00000140350
ENSECAG00000002542	ENSG00000205426
ENSECAG00000002544	ENSG00000169564
ENSECAG00000002545	ENSG00000270276
ENSECAG00000002548	ENSG00000180537
ENSECAG00000002550	ENSG00000179526
ENSECAG00000002551	ENST00000615371
ENSECAG00000002552	ENSG00000169208
ENSECAG00000002554	ENSG00000166484
ENSECAG00000002556	ENSG00000198146
ENSECAG00000002559	ENSG00000206525
ENSECAG00000002561	ENSG00000221813
ENSECAG00000002562	ENSG00000165152
ENSECAG00000002564	ENSG00000185245
ENSECAG00000002565	ENSG00000181518
ENSECAG00000002566	ENSG00000212901
ENSECAG00000002568	ENSG00000204740
ENSECAG00000002569	ENSG00000125848
ENSECAG00000002570	ENSG00000002587
ENSECAG00000002571	ENSG00000167996
ENSECAG00000002572	ENSG00000180016
ENSECAG00000002574	ENSG00000173679
ENSECAG00000002575	ENSG00000106608
ENSECAG00000002578	ENSG00000100029
ENSECAG00000002578	ENSG00000100029
ENSECAG00000002579	ENSG00000132561
ENSECAG00000002580	ENSG00000123933
ENSECAG00000002581	ENST00000422132
ENSECAG00000002586	ENSG00000183153
ENSECAG00000002592	ENSG00000168028
ENSECAG00000002594	ENSG00000176774
ENSECAG00000002595	ENSG00000185198
ENSECAG00000002596	ENSG00000163092
ENSECAG00000002596	ENSG00000163092
ENSECAG00000002596	ENSG00000163092
ENSECAG00000002597	ENSG00000183032
ENSECAG00000002600	ENSG00000255582
ENSECAG00000002601	ENSG00000198774
ENSECAG00000002602	ENSG00000172146
ENSECAG00000002603	ENSG00000237521
ENSECAG00000002606	ENSG00000178163
ENSECAG00000002607	ENSG00000185222
ENSECAG00000002610	ENSG00000134042
ENSECAG00000002611	ENSG00000140374
ENSECAG00000002612	ENSG00000157152
ENSECAG00000002613	ENST00000378657
ENSECAG00000002616	ENSG00000204913
ENSECAG00000002619	ENSG00000282046
ENSECAG00000002620	ENSG00000186288
ENSECAG00000002621	ENSG00000167770
ENSECAG00000002622	ENSG00000176979
ENSECAG00000002623	ENSG00000187566
ENSECAG00000002624	ENSG00000206525
ENSECAG00000002626	ENSG00000132975
ENSECAG00000002629	ENSG00000174667
ENSECAG00000002630	ENSG00000004809
ENSECAG00000002632	ENSG00000178988
ENSECAG00000002635	ENSG00000180011
ENSECAG00000002638	ENSG00000177275
ENSECAG00000002640	ENSG00000221944
ENSECAG00000002645	ENSG00000213139
ENSECAG00000002649	ENSG00000179010
ENSECAG00000002650	ENSG00000221944
ENSECAG00000002652	ENSG00000171428
ENSECAG00000002654	ENSG00000176893
ENSECAG00000002656	ENSG00000197903
ENSECAG00000002658	ENSG00000167183
ENSECAG00000002661	ENSG00000176834
ENSECAG00000002662	ENSG00000255582
ENSECAG00000002666	ENSG00000171459
ENSECAG00000002668	ENSG00000143878
ENSECAG00000002671	ENSG00000221944
ENSECAG00000002672	ENSG00000186897
ENSECAG00000002674	ENSG00000148488
ENSECAG00000002675	ENSG00000138658
ENSECAG00000002676	ENSG00000153147
ENSECAG00000002679	ENSG00000233046
ENSECAG00000002680	ENSG00000163092
ENSECAG00000002681	ENSG00000178235
ENSECAG00000002683	ENSG00000254834
ENSECAG00000002687	ENSG00000122406
ENSECAG00000002688	ENSG00000221882
ENSECAG00000002690	ENSG00000187918
ENSECAG00000002691	ENSG00000187257
ENSECAG00000002692	ENSG00000115155
ENSECAG00000002693	ENSG00000255974
ENSECAG00000002695	ENSG00000089685
ENSECAG00000002697	ENSG00000189157
ENSECAG00000002699	ENSG00000009413
ENSECAG00000002700	ENSG00000172465
ENSECAG00000002701	ENSG00000111647
ENSECAG00000002702	ENSG00000257594
ENSECAG00000002703	ENSG00000184408
ENSECAG00000002706	ENSG00000186675
ENSECAG00000002707	ENSG00000120093
ENSECAG00000002709	ENSG00000184984
ENSECAG00000002710	ENSG00000244617
ENSECAG00000002711	ENSG00000197579
ENSECAG00000002714	ENSG00000167553
ENSECAG00000002715	ENSG00000157045
ENSECAG00000002716	ENSG00000006459
ENSECAG00000002719	ENSG00000125971
ENSECAG00000002721	ENSG00000127515
ENSECAG00000002723	ENSG00000167996
ENSECAG00000002724	ENSG00000151379
ENSECAG00000002727	ENSG00000187918
ENSECAG00000002729	ENSG00000179919
ENSECAG00000002730	ENSG00000177212
ENSECAG00000002732	ENSG00000123562
ENSECAG00000002734	ENSG00000121073
ENSECAG00000002736	ENSG00000206525
ENSECAG00000002738	ENSG00000179862
ENSECAG00000002739	ENSG00000106608
ENSECAG00000002744	ENSG00000178401
ENSECAG00000002745	ENSG00000165406
ENSECAG00000002746	ENSG00000157764
ENSECAG00000002747	ENSG00000143321
ENSECAG00000002749	ENSG00000151005
ENSECAG00000002752	ENSG00000221977
ENSECAG00000002755	ENSG00000172318
ENSECAG00000002756	ENSG00000115977
ENSECAG00000002757	ENSG00000186881
ENSECAG00000002758	ENSG00000115073
ENSECAG00000002759	ENSG00000112031
ENSECAG00000002760	ENSG00000188050
ENSECAG00000002761	ENSG00000206525
ENSECAG00000002762	ENSG00000117450
ENSECAG00000002764	ENST00000616593
ENSECAG00000002769	ENSG00000203730
ENSECAG00000002770	ENSG00000184140
ENSECAG00000002772	ENSG00000170689
ENSECAG00000002775	ENSG00000174667
ENSECAG00000002778	ENSG00000221944
ENSECAG00000002779	ENSG00000184270
ENSECAG00000002780	ENSG00000233046
ENSECAG00000002781	ENSG00000278229
ENSECAG00000002782	ENSG00000178662
ENSECAG00000002783	ENSG00000028203
ENSECAG00000002784	ENST00000319445
ENSECAG00000002789	ENSG00000274997
ENSECAG00000002790	ENSG00000174667
ENSECAG00000002792	ENSG00000181609
ENSECAG00000002795	ENSG00000169306
ENSECAG00000002796	ENSG00000146276
ENSECAG00000002797	ENSG00000197050
ENSECAG00000002798	ENSG00000075945
ENSECAG00000002800	ENSG00000197233
ENSECAG00000002803	ENSG00000188124
ENSECAG00000002805	ENST00000623829
ENSECAG00000002808	ENSG00000197683
ENSECAG00000002810	ENSG00000198910
ENSECAG00000002811	ENSG00000176895
ENSECAG00000002814	ENSG00000141232
ENSECAG00000002816	ENSG00000078043
ENSECAG00000002817	ENSG00000181609
ENSECAG00000002819	ENSG00000235631
ENSECAG00000002822	ENSG00000087086
ENSECAG00000002823	ENSG00000111052
ENSECAG00000002824	ENSG00000221944
ENSECAG00000002827	ENSG00000214107
ENSECAG00000002830	ENSG00000090372
ENSECAG00000002831	ENSG00000187775
ENSECAG00000002831	ENSG00000187775
ENSECAG00000002831	ENSG00000187775
ENSECAG00000002831	ENSG00000187775
ENSECAG00000002831	ENSG00000187775
ENSECAG00000002833	ENSG00000004975
ENSECAG00000002836	ENSG00000182899
ENSECAG00000002839	ENSG00000174667
ENSECAG00000002841	ENSG00000221944
ENSECAG00000002842	ENSG00000141200
ENSECAG00000002843	ENSG00000146047
ENSECAG00000002845	ENSG00000136758
ENSECAG00000002846	ENSG00000171501
ENSECAG00000002847	ENSG00000103550
ENSECAG00000002849	ENSG00000164651
ENSECAG00000002853	ENSG00000221944
ENSECAG00000002854	ENSG00000204246
ENSECAG00000002855	ENSG00000104870
ENSECAG00000002856	ENSG00000168883
ENSECAG00000002857	ENSG00000122873
ENSECAG00000002859	ENSG00000172742
ENSECAG00000002861	ENSG00000176269
ENSECAG00000002862	ENSG00000185372
ENSECAG00000002863	ENSG00000009413
ENSECAG00000002864	ENSG00000197309
ENSECAG00000002866	ENSG00000148154
ENSECAG00000002867	ENSG00000164251
ENSECAG00000002868	ENSG00000130948
ENSECAG00000002871	ENSG00000177125
ENSECAG00000002874	ENSG00000175928
ENSECAG00000002876	ENSG00000185504
ENSECAG00000002876	ENSG00000185504
ENSECAG00000002877	ENSG00000279906
ENSECAG00000002882	ENSG00000009413
ENSECAG00000002886	ENSG00000009413
ENSECAG00000002887	ENSG00000124610
ENSECAG00000002889	ENSG00000009954
ENSECAG00000002890	ENSG00000131148
ENSECAG00000002892	ENSG00000111602
ENSECAG00000002893	ENSG00000206422
ENSECAG00000002894	ENSG00000185523
ENSECAG00000002896	ENSG00000134323
ENSECAG00000002900	ENSG00000177535
ENSECAG00000002901	ENSG00000176798
ENSECAG00000002903	ENSG00000106591
ENSECAG00000002904	ENSG00000186184
ENSECAG00000002905	ENSG00000163517
ENSECAG00000002911	ENSG00000213859
ENSECAG00000002916	ENSG00000118298
ENSECAG00000002917	ENSG00000197444
ENSECAG00000002918	ENSG00000101144
ENSECAG00000002919	ENSG00000058668
ENSECAG00000002920	ENSG00000137710
ENSECAG00000002922	ENST00000623437
ENSECAG00000026914	ENSG00000152291
ENSECAG00000002924	ENSG00000203668
ENSECAG00000002928	ENSG00000197852
ENSECAG00000002929	ENSG00000176200
ENSECAG00000002931	ENSG00000111328
ENSECAG00000002934	ENSG00000170178
ENSECAG00000002935	ENSG00000162975
ENSECAG00000002936	ENSG00000140006
ENSECAG00000002938	ENSG00000226931
ENSECAG00000002941	ENSG00000151079
ENSECAG00000002942	ENSG00000166295
ENSECAG00000002943	ENSG00000187607
ENSECAG00000002944	ENSG00000173020
ENSECAG00000002945	ENSG00000166329
ENSECAG00000002951	ENSG00000206107
ENSECAG00000002952	ENSG00000105879
ENSECAG00000002955	ENSG00000179981
ENSECAG00000002955	ENSG00000179981
ENSECAG00000002958	ENSG00000128594
ENSECAG00000002959	ENSG00000158553
ENSECAG00000002961	ENSG00000197309
ENSECAG00000002962	ENSG00000181092
ENSECAG00000002963	ENSG00000230780
ENSECAG00000002969	ENSG00000165023
ENSECAG00000002971	ENSG00000089692
ENSECAG00000002972	ENSG00000092108
ENSECAG00000002977	ENSG00000269743
ENSECAG00000002978	ENSG00000120235
ENSECAG00000002983	ENSG00000186970
ENSECAG00000002984	ENSG00000173578
ENSECAG00000002986	ENSG00000112964
ENSECAG00000002987	ENSG00000116212
ENSECAG00000002988	ENSG00000140368
ENSECAG00000002988	ENSG00000140368
ENSECAG00000002989	ENSG00000149506
ENSECAG00000002992	ENSG00000165175
ENSECAG00000002995	ENSG00000197309
ENSECAG00000002996	ENSG00000141194
ENSECAG00000002999	ENSG00000111262
ENSECAG00000003000	ENSG00000113068
ENSECAG00000003001	ENSG00000118894
ENSECAG00000003002	ENSG00000010278
ENSECAG00000003003	ENSG00000197409
ENSECAG00000003006	ENSG00000184560
ENSECAG00000003007	ENSG00000124613
ENSECAG00000003010	ENSG00000187857
ENSECAG00000003011	ENSG00000213694
ENSECAG00000003013	ENSG00000143157
ENSECAG00000003015	ENSG00000197632
ENSECAG00000003017	ENSG00000185900
ENSECAG00000003018	ENSG00000188000
ENSECAG00000003023	ENSG00000144713
ENSECAG00000003025	ENSG00000136630
ENSECAG00000003027	ENSG00000116819
ENSECAG00000003028	ENSG00000100987
ENSECAG00000003029	ENSG00000158402
ENSECAG00000003030	ENSG00000163902
ENSECAG00000003033	ENSG00000130037
ENSECAG00000003034	ENSG00000165512
ENSECAG00000003039	ENSG00000221882
ENSECAG00000003045	ENSG00000128713
ENSECAG00000003048	ENSG00000180433
ENSECAG00000003049	ENSG00000135245
ENSECAG00000003050	ENSG00000185352
ENSECAG00000003051	ENSG00000170385
ENSECAG00000003052	ENSG00000242265
ENSECAG00000003053	ENSG00000131650
ENSECAG00000003054	ENSG00000125841
ENSECAG00000003055	ENSG00000160194
ENSECAG00000003056	ENSG00000136404
ENSECAG00000003064	ENSG00000221944
ENSECAG00000003066	ENSG00000177301
ENSECAG00000003067	ENSG00000157502
ENSECAG00000003068	ENSG00000180902
ENSECAG00000003069	ENSG00000186924
ENSECAG00000003071	ENSG00000273547
ENSECAG00000003072	ENSG00000176907
ENSECAG00000003075	ENSG00000196544
ENSECAG00000003078	ENSG00000165621
ENSECAG00000003079	ENSG00000127022
ENSECAG00000003080	ENSG00000136152
ENSECAG00000003080	ENSG00000136152
ENSECAG00000026967	ENSG00000214336
ENSECAG00000003083	ENSG00000176532
ENSECAG00000003084	ENSG00000172742
ENSECAG00000003087	ENSG00000009413
ENSECAG00000003088	ENSG00000143105
ENSECAG00000003089	ENSG00000115306
ENSECAG00000003090	ENSG00000164520
ENSECAG00000003091	ENSG00000013561
ENSECAG00000003092	ENSG00000148602
ENSECAG00000003094	ENSG00000060762
ENSECAG00000003095	ENSG00000147145
ENSECAG00000003099	ENSG00000170255
ENSECAG00000003102	ENSG00000147183
ENSECAG00000003103	ENSG00000185627
ENSECAG00000003104	ENSG00000205356
ENSECAG00000003105	ENSG00000172215
ENSECAG00000003106	ENSG00000171860
ENSECAG00000003112	ENSG00000155008
ENSECAG00000003113	ENSG00000146223
ENSECAG00000003116	ENSG00000187866
ENSECAG00000003118	ENSG00000175283
ENSECAG00000003121	ENSG00000149925
ENSECAG00000003122	ENSG00000275145
ENSECAG00000003123	ENSG00000106410
ENSECAG00000003124	ENSG00000198771
ENSECAG00000003126	ENSG00000183640
ENSECAG00000003130	ENSG00000163806
ENSECAG00000003131	ENSG00000237521
ENSECAG00000003132	ENSG00000233046
ENSECAG00000003137	ENSG00000178467
ENSECAG00000003138	ENSG00000171425
ENSECAG00000003139	ENSG00000221944
ENSECAG00000003142	ENSG00000119737
ENSECAG00000003146	ENSG00000140463
ENSECAG00000003148	ENSG00000178358
ENSECAG00000003150	ENSG00000165507
ENSECAG00000003151	ENSG00000189051
ENSECAG00000003153	ENSG00000196787
ENSECAG00000026826	ENSG00000125611
ENSECAG00000003155	ENSG00000174667
ENSECAG00000003156	ENSG00000204246
ENSECAG00000003157	ENSG00000179912
ENSECAG00000003157	ENSG00000179912
ENSECAG00000003158	ENSG00000197566
ENSECAG00000003159	ENSG00000206052
ENSECAG00000003160	ENSG00000197050
ENSECAG00000003160	ENSG00000281448
ENSECAG00000003160	ENSG00000096654
ENSECAG00000003160	ENSG00000170949
ENSECAG00000003160	ENSG00000281448
ENSECAG00000003160	ENSG00000170949
ENSECAG00000003160	ENSG00000267041
ENSECAG00000003160	ENSG00000281448
ENSECAG00000003160	ENSG00000281448
ENSECAG00000003160	ENSG00000281448
ENSECAG00000003167	ENSG00000180875
ENSECAG00000003168	ENSG00000147873
ENSECAG00000003170	ENSG00000283085
ENSECAG00000003173	ENSG00000171659
ENSECAG00000003177	ENSG00000187701
ENSECAG00000003178	ENSG00000117480
ENSECAG00000003179	ENSG00000196793
ENSECAG00000003180	ENSG00000186787
ENSECAG00000003181	ENSG00000078589
ENSECAG00000003182	ENSG00000241360
ENSECAG00000003184	ENSG00000169188
ENSECAG00000003188	ENSG00000186150
ENSECAG00000003192	ENSG00000087086
ENSECAG00000003193	ENSG00000095739
ENSECAG00000003199	ENSG00000134864
ENSECAG00000003201	ENSG00000146250
ENSECAG00000003205	ENSG00000176087
ENSECAG00000003209	ENSG00000197128
ENSECAG00000003210	ENSG00000204246
ENSECAG00000003211	ENSG00000162757
ENSECAG00000003215	ENSG00000251258
ENSECAG00000003216	ENSG00000270276
ENSECAG00000003217	ENSG00000172464
ENSECAG00000003219	ENSG00000228198
ENSECAG00000003222	ENSG00000156097
ENSECAG00000003227	ENSG00000184492
ENSECAG00000003229	ENSG00000169813
ENSECAG00000003230	ENSG00000179841
ENSECAG00000003231	ENSG00000153779
ENSECAG00000003232	ENSG00000204442
ENSECAG00000003235	ENSG00000140525
ENSECAG00000003236	ENSG00000165417
ENSECAG00000003237	ENSG00000135968
ENSECAG00000003238	ENSG00000122203
ENSECAG00000003239	ENSG00000187699
ENSECAG00000003240	ENSG00000173585
ENSECAG00000003241	ENSG00000185156
ENSECAG00000003249	ENSG00000198860
ENSECAG00000003252	ENSG00000178732
ENSECAG00000003253	ENSG00000163521
ENSECAG00000003255	ENSG00000172464
ENSECAG00000003256	ENSG00000183640
ENSECAG00000003257	ENSG00000174405
ENSECAG00000003258	ENSG00000197125
ENSECAG00000003259	ENSG00000059122
ENSECAG00000003260	ENSG00000123243
ENSECAG00000003262	ENSG00000184140
ENSECAG00000003264	ENSG00000175520
ENSECAG00000003266	ENSG00000233670
ENSECAG00000003268	ENSG00000171505
ENSECAG00000003269	ENSG00000198034
ENSECAG00000003270	ENSG00000171501
ENSECAG00000003271	ENSG00000112851
ENSECAG00000003271	ENSG00000112851
ENSECAG00000003273	ENSG00000276119
ENSECAG00000003275	ENSG00000274749
ENSECAG00000003276	ENSG00000179918
ENSECAG00000003277	ENSG00000162924
ENSECAG00000003278	ENSG00000100505
ENSECAG00000003282	ENSG00000255713
ENSECAG00000003284	ENSG00000196661
ENSECAG00000003287	ENSG00000221944
ENSECAG00000003288	ENSG00000175518
ENSECAG00000003289	ENSG00000165917
ENSECAG00000003291	ENSG00000181754
ENSECAG00000003293	ENSG00000128951
ENSECAG00000003305	ENSG00000203877
ENSECAG00000003307	ENSG00000181616
ENSECAG00000003310	ENSG00000278032
ENSECAG00000003311	ENSG00000107147
ENSECAG00000003312	ENSG00000176623
ENSECAG00000003313	ENSG00000272398
ENSECAG00000003314	ENSG00000144647
ENSECAG00000003315	ENSG00000185950
ENSECAG00000003316	ENSG00000172742
ENSECAG00000003317	ENSG00000275617
ENSECAG00000003318	ENSG00000205221
ENSECAG00000003319	ENSG00000141040
ENSECAG00000003326	ENSG00000203757
ENSECAG00000003330	ENSG00000142082
ENSECAG00000003331	ENSG00000152527
ENSECAG00000003332	ENSG00000184897
ENSECAG00000003337	ENSG00000178395
ENSECAG00000003338	ENSG00000172464
ENSECAG00000003343	ENSG00000139832
ENSECAG00000003344	ENSG00000182854
ENSECAG00000003345	ENSG00000074800
ENSECAG00000003353	ENSG00000178718
ENSECAG00000003354	ENSG00000166558
ENSECAG00000003355	ENSG00000162267
ENSECAG00000003355	ENSG00000162267
ENSECAG00000003356	ENSG00000182591
ENSECAG00000003357	ENSG00000153487
ENSECAG00000003360	ENST00000624268
ENSECAG00000003363	ENSG00000116903
ENSECAG00000003366	ENSG00000132507
ENSECAG00000003367	ENSG00000108384
ENSECAG00000003368	ENSG00000145907
ENSECAG00000003372	ENSG00000262647
ENSECAG00000003378	ENSG00000270276
ENSECAG00000003379	ENSG00000203757
ENSECAG00000003380	ENSG00000197353
ENSECAG00000003381	ENSG00000171657
ENSECAG00000003382	ENSG00000198133
ENSECAG00000003383	ENST00000623437
ENSECAG00000003385	ENSG00000165682
ENSECAG00000003386	ENSG00000126785
ENSECAG00000003387	ENSG00000169814
ENSECAG00000003387	ENSG00000169814
ENSECAG00000003388	ENSG00000187147
ENSECAG00000003393	ENSG00000171150
ENSECAG00000003396	ENSG00000181616
ENSECAG00000003397	ENSG00000197454
ENSECAG00000003398	ENSG00000277443
ENSECAG00000003409	ENSG00000255713
ENSECAG00000003410	ENSG00000121377
ENSECAG00000003413	ENSG00000279906
ENSECAG00000003414	ENSG00000214717
ENSECAG00000003415	ENSG00000180432
ENSECAG00000003416	ENSG00000203757
ENSECAG00000003417	ENSG00000165376
ENSECAG00000003418	ENSG00000146859
ENSECAG00000003422	ENSG00000186787
ENSECAG00000003425	ENSG00000181616
ENSECAG00000003427	ENSG00000198890
ENSECAG00000003428	ENSG00000170315
ENSECAG00000003433	ENSG00000204246
ENSECAG00000003436	ENSG00000113108
ENSECAG00000003436	ENSG00000113108
ENSECAG00000003437	ENSG00000183862
ENSECAG00000003439	ENST00000296882
ENSECAG00000003442	ENST00000625024
ENSECAG00000003445	ENSG00000196476
ENSECAG00000003446	ENSG00000173275
ENSECAG00000003447	ENSG00000166984
ENSECAG00000003448	ENSG00000110395
ENSECAG00000003448	ENSG00000110395
ENSECAG00000003449	ENSG00000181803
ENSECAG00000003452	ENSG00000174740
ENSECAG00000003453	ENSG00000147234
ENSECAG00000003456	ENSG00000172146
ENSECAG00000003457	ENSG00000184203
ENSECAG00000003460	ENSG00000173207
ENSECAG00000003462	ENSG00000159216
ENSECAG00000003466	ENSG00000078589
ENSECAG00000003468	ENSG00000171794
ENSECAG00000003470	ENSG00000177669
ENSECAG00000003471	ENSG00000146457
ENSECAG00000003473	ENSG00000070540
ENSECAG00000003474	ENSG00000214021
ENSECAG00000003478	ENSG00000114503
ENSECAG00000003479	ENSG00000228198
ENSECAG00000003481	ENSG00000185905
ENSECAG00000003482	ENSG00000187823
ENSECAG00000003484	ENSG00000171855
ENSECAG00000003485	ENSG00000215182
ENSECAG00000003486	ENSG00000197409
ENSECAG00000003492	ENSG00000181616
ENSECAG00000003494	ENSG00000188612
ENSECAG00000003495	ENSG00000147324
ENSECAG00000003499	ENSG00000196661
ENSECAG00000003500	ENSG00000276119
ENSECAG00000003502	ENSG00000167625
ENSECAG00000003503	ENSG00000103423
ENSECAG00000003508	ENSG00000221944
ENSECAG00000003510	ENSG00000115514
ENSECAG00000003511	ENSG00000074706
ENSECAG00000003512	ENSG00000185813
ENSECAG00000003513	ENSG00000179902
ENSECAG00000003515	ENSG00000127533
ENSECAG00000003516	ENSG00000146278
ENSECAG00000003517	ENSG00000167065
ENSECAG00000003523	ENSG00000185385
ENSECAG00000003526	ENSG00000121314
ENSECAG00000003527	ENSG00000170920
ENSECAG00000003528	ENSG00000148229
ENSECAG00000003531	ENSG00000221977
ENSECAG00000003532	ENSG00000159110
ENSECAG00000003533	ENSG00000132854
ENSECAG00000003535	ENSG00000123689
ENSECAG00000003538	ENSG00000197409
ENSECAG00000003539	ENSG00000059691
ENSECAG00000003544	ENSG00000221944
ENSECAG00000003545	ENSG00000187747
ENSECAG00000003546	ENSG00000100815
ENSECAG00000003547	ENSG00000221944
ENSECAG00000003549	ENSG00000128951
ENSECAG00000003550	ENSG00000229176
ENSECAG00000003551	ENSG00000129295
ENSECAG00000003553	ENSG00000153237
ENSECAG00000003554	ENSG00000165568
ENSECAG00000003561	ENSG00000178307
ENSECAG00000003562	ENSG00000179695
ENSECAG00000003563	ENSG00000130303
ENSECAG00000003565	ENSG00000147138
ENSECAG00000003567	ENSG00000177212
ENSECAG00000003568	ENSG00000182854
ENSECAG00000003570	ENSG00000100151
ENSECAG00000003573	ENSG00000253958
ENSECAG00000003575	ENST00000625024
ENSECAG00000003576	ENSG00000178586
ENSECAG00000003577	ENSG00000128951
ENSECAG00000003578	ENST00000625188
ENSECAG00000003580	ENSG00000070404
ENSECAG00000003581	ENSG00000173275
ENSECAG00000003582	ENSG00000233618
ENSECAG00000003584	ENSG00000179695
ENSECAG00000003585	ENSG00000108298
ENSECAG00000003586	ENSG00000273547
ENSECAG00000003588	ENSG00000171773
ENSECAG00000003591	ENSG00000141933
ENSECAG00000003592	ENSG00000139921
ENSECAG00000003597	ENSG00000187189
ENSECAG00000003599	ENSG00000198814
ENSECAG00000003600	ENSG00000102738
ENSECAG00000003601	ENSG00000100764
ENSECAG00000003602	ENSG00000147606
ENSECAG00000003603	ENST00000625024
ENSECAG00000003604	ENSG00000181616
ENSECAG00000003606	ENSG00000129009
ENSECAG00000003607	ENSG00000196171
ENSECAG00000003608	ENSG00000196661
ENSECAG00000003614	ENSG00000172365
ENSECAG00000003616	ENSG00000198830
ENSECAG00000003617	ENSG00000273590
ENSECAG00000003618	ENSG00000127362
ENSECAG00000003619	ENSG00000172493
ENSECAG00000003621	ENSG00000141378
ENSECAG00000003626	ENSG00000174460
ENSECAG00000003629	ENSG00000228567
ENSECAG00000003631	ENSG00000117148
ENSECAG00000003632	ENSG00000010017
ENSECAG00000003633	ENSG00000253953
ENSECAG00000003634	ENSG00000171792
ENSECAG00000003636	ENSG00000164307
ENSECAG00000003639	ENSG00000273713
ENSECAG00000003640	ENSG00000172289
ENSECAG00000003643	ENSG00000188710
ENSECAG00000003645	ENSG00000182083
ENSECAG00000003647	ENSG00000179695
ENSECAG00000003652	ENSG00000161807
ENSECAG00000003653	ENSG00000198967
ENSECAG00000003654	ENST00000623829
ENSECAG00000003655	ENSG00000189403
ENSECAG00000003656	ENSG00000188613
ENSECAG00000003657	ENSG00000127364
ENSECAG00000003659	ENSG00000196661
ENSECAG00000003664	ENSG00000184185
ENSECAG00000003665	ENSG00000176269
ENSECAG00000003667	ENSG00000081479
ENSECAG00000003668	ENSG00000129993
ENSECAG00000003668	ENSG00000129993
ENSECAG00000003669	ENSG00000243215
ENSECAG00000003672	ENSG00000228083
ENSECAG00000003677	ENSG00000258083
ENSECAG00000003680	ENSG00000211804
ENSECAG00000003681	ENSG00000197958
ENSECAG00000003682	ENSG00000197757
ENSECAG00000003688	ENSG00000179695
ENSECAG00000003691	ENSG00000187682
ENSECAG00000003693	ENSG00000164741
